period,cost,origin,execution_date,target,vol20,target_vol_proxy,request
main,BASE,2019-12-31,2020-01-02,0.9558016,0.1176953478964844,0.11249340183201643,46600
main,BASE,2020-01-02,2020-01-03,0.9625021023939977,0.12203141227166307,0.1174554908695844,0
main,BASE,2020-01-03,2020-01-06,0.9624199039163341,0.12305909869476121,0.11843452594184277,0
main,BASE,2020-01-06,2020-01-07,0.9622876305054576,0.12500281990666615,0.12028866737448622,0
main,BASE,2020-01-07,2020-01-08,0.9625512482854574,0.12410169676004887,0.11945424313072833,0
main,BASE,2020-01-08,2020-01-09,0.9622128147159854,0.1321355023537655,0.1271424736437274,0
main,BASE,2020-01-09,2020-01-10,0.9455445071390012,0.1348432206749989,0.1275002666341774,0
main,BASE,2020-01-10,2020-01-13,0.9455245121051103,0.1336588631686283,0.12637773138604097,0
main,BASE,2020-01-13,2020-01-14,0.9459979637260895,0.12189857387596673,0.11531580266777881,0
main,BASE,2020-01-14,2020-01-15,0.9458095917522584,0.12442666414329,0.11768393241646048,0
main,BASE,2020-01-15,2020-01-16,0.9454713841440632,0.11954553412715715,0.11302688161944462,0
main,BASE,2020-01-16,2020-01-17,0.9605681573580773,0.11857441512635557,0.1138988074477351,0
main,BASE,2020-01-17,2020-01-20,0.9606415950061757,0.11799599244472625,0.11335185838643849,0
main,BASE,2020-01-20,2020-01-21,0.8344611650862118,0.11912535926439705,0.09940548608308232,-6200
main,BASE,2020-01-21,2020-01-22,0.0,0.12852506648552114,0.0,-40400
main,BASE,2020-01-22,2020-01-23,0.0,0.12803419402318042,0.0,0
main,BASE,2020-01-23,2020-02-03,0.0,0.16862204795765068,0.0,0
main,BASE,2020-02-03,2020-02-04,0.0,0.33653227711237654,0.0,0
main,BASE,2020-02-04,2020-02-05,0.7060016806106924,0.35764253269249774,0.2524962291387679,37200
main,BASE,2020-02-05,2020-02-06,0.7102294845823646,0.35513889696001155,0.2522301157430585,0
main,BASE,2020-02-06,2020-02-07,0.7149767435619653,0.36628410100981573,0.26188461375852,0
main,BASE,2020-02-07,2020-02-10,0.7145090569824089,0.3620654336990424,0.25869903159822966,0
main,BASE,2020-02-10,2020-02-11,0.7151841107960637,0.36273261637596294,0.25942060369957276,0
main,BASE,2020-02-11,2020-02-12,0.7173433159157357,0.3656868201944806,0.26232299618499016,0
main,BASE,2020-02-12,2020-02-13,0.7187646186534089,0.3654705119977949,0.26268727318516116,0
main,BASE,2020-02-13,2020-02-14,0.7176999920247499,0.3645593284491249,0.26164422712048513,0
main,BASE,2020-02-14,2020-02-17,0.7190673186119542,0.36312399783704835,0.2611105994483394,0
main,BASE,2020-02-17,2020-02-18,0.18934908078074916,0.37248211669727066,0.07052914640389595,-27500
main,BASE,2020-02-18,2020-02-19,0.1886731746267158,0.37038085490829875,0.06988093171650574,0
main,BASE,2020-02-19,2020-02-20,0.18871105569160398,0.3703131898747523,0.0698821929977899,0
main,BASE,2020-02-20,2020-02-21,0.1921434598617012,0.37868133409706517,0.07276114171845491,0
main,BASE,2020-02-21,2020-02-24,0.1726298699612231,0.37881350321609103,0.06539452579974916,0
main,BASE,2020-02-24,2020-02-25,0.17152092180916276,0.37986875944598264,0.06515543978667805,0
main,BASE,2020-02-25,2020-02-26,0.1712503877493823,0.378929944897053,0.0648918999934724,0
main,BASE,2020-02-26,2020-02-27,0.17009839877607155,0.37463560208470853,0.06372491603911841,0
main,BASE,2020-02-27,2020-02-28,0.1701323321883661,0.3744149897247001,0.06370009540814636,0
