source,report_id,ts_code,sec_name,forecast_years,comparable_years,outside_reference_range_years,cross_year_implied_price_common_range_exists,cross_year_common_lower,cross_year_common_upper,reference_price_exact,missing_input_only,maximum_absolute_point_relative_difference
国信完整已提取原件,AP201703060387623074,300014.SZ,亿纬锂能,3,0,0,,,,,True,
国信完整已提取原件,AP201703270442096940,000400.SZ,许继电气,3,0,0,,,,,True,
国信完整已提取原件,AP201706090635701473,600406.SH,国电南瑞,3,0,0,,,,,True,
国信完整已提取原件,AP201707210734493267,600754.SH,锦江股份,3,0,0,,,,,True,
国信完整已提取原件,AP201707310758431496,600406.SH,国电南瑞,3,0,0,,,,,True,
国信完整已提取原件,AP201708080781736048,600867.SH,通化东宝,3,0,0,,,,,True,
国信完整已提取原件,AP201708250827807891,300124.SZ,汇川技术,3,0,0,,,,,True,
国信完整已提取原件,AP201708300838254362,002074.SZ,国轩高科,3,0,0,,,,,True,
国信完整已提取原件,AP201708310841943276,002027.SZ,分众传媒,4,0,0,,,,,True,
国信完整已提取原件,AP201710170957538618,300124.SZ,汇川技术,3,0,0,,,,,True,
国信完整已提取原件,AP201710300990343237,600406.SH,国电南瑞,3,0,0,,,,,True,
国信完整已提取原件,AP201711010995276702,601607.SH,上海医药,3,0,0,,,,,True,
国信完整已提取原件,AP201711010995930869,601088.SH,中国神华,3,0,0,,,,,True,
国信完整已提取原件,AP201711201052894114,600438.SH,通威股份,3,0,0,,,,,True,
国信完整已提取原件,AP201801091075431016,600438.SH,通威股份,3,0,0,,,,,True,
国信完整已提取原件,AP201805071138405278,601799.SH,星宇股份,3,0,0,,,,,True,
国信完整已提取原件,AP201805081139237789,601360.SH,三六零,3,0,0,,,,,True,
国信完整已提取原件,AP201808291184453839,000338.SZ,潍柴动力,3,0,0,,,,,True,
国信完整已提取原件,AP201808301185041902,601360.SH,三六零,3,0,0,,,,,True,
国信完整已提取原件,AP201808311185975845,000039.SZ,中集集团,3,0,0,,,,,True,
国信完整已提取原件,AP201810191216840960,600176.SH,中国巨石,3,0,0,,,,,True,
国信完整已提取原件,AP201811011229685729,000338.SZ,潍柴动力,3,0,0,,,,,True,
国信完整已提取原件,AP201812121267820190,603899.SH,晨光文具,3,0,0,,,,,True,
国信完整已提取原件,AP201903071303507274,000001.SZ,平安银行,3,0,0,,,,,True,
国信完整已提取原件,AP201903221308620223,300450.SZ,先导智能,3,0,0,,,,,True,
国信完整已提取原件,AP201903261309684498,000338.SZ,潍柴动力,3,0,0,,,,,True,
国信完整已提取原件,AP201904041315606799,002841.SZ,视源股份,3,0,0,,,,,True,
国信完整已提取原件,AP201908201344691883,600340.SH,华夏幸福,3,0,0,,,,,True,
国信完整已提取原件,AP201908301345380799,000338.SZ,潍柴动力,3,0,0,,,,,True,
国信完整已提取原件,AP201910311370095913,000338.SZ,潍柴动力,3,0,0,,,,,True,
国信完整已提取原件,AP202002051374796706,601601.SH,中国太保,3,0,0,,,,,True,
国信完整已提取原件,AP202003171376568839,600036.SH,招商银行,3,0,0,,,,,True,
国信完整已提取原件,AP202003261376985027,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202004241378537202,688396.SH,华润微,3,0,0,,,,,True,
国信完整已提取原件,AP202004281378893592,601377.SH,兴业证券,3,0,0,,,,,True,
国信完整已提取原件,AP202005061379307595,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202006121384335334,300676.SZ,华大基因,3,0,0,,,,,True,
国信完整已提取原件,AP202007291395092222,688396.SH,华润微,3,0,0,,,,,True,
国信完整已提取原件,AP202008181399388291,601799.SH,星宇股份,3,0,0,,,,,True,
国信完整已提取原件,AP202008301404193861,000860.SZ,顺鑫农业,3,0,0,,,,,True,
国信完整已提取原件,AP202009011405118140,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202009081409213944,600809.SH,山西汾酒,3,0,0,,,,,True,
国信完整已提取原件,AP202010201422526535,688396.SH,华润微,3,0,0,,,,,True,
国信完整已提取原件,AP202010271423959276,600519.SH,贵州茅台,3,0,0,,,,,True,
国信完整已提取原件,AP202010301425000808,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202011031425985402,000568.SZ,泸州老窖,3,0,0,,,,,True,
国信完整已提取原件,AP202011031425999044,002304.SZ,洋河股份,3,0,0,,,,,True,
国信完整已提取原件,AP202011031426026898,000858.SZ,五粮液,3,0,0,,,,,True,
国信完整已提取原件,AP202011031426038423,000860.SZ,顺鑫农业,3,0,0,,,,,True,
国信完整已提取原件,AP202011031426077990,000596.SZ,古井贡酒,3,0,0,,,,,True,
国信完整已提取原件,AP202101041446860362,000860.SZ,顺鑫农业,3,0,0,,,,,True,
国信完整已提取原件,AP202101271454757072,688981.SH,中芯国际,3,0,0,,,,,True,
国信完整已提取原件,AP202102051459130006,688981.SH,中芯国际,3,0,0,,,,,True,
国信完整已提取原件,AP202103101470303306,600809.SH,山西汾酒,3,0,0,,,,,True,
国信完整已提取原件,AP202103301478690946,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202104011480045742,600519.SH,贵州茅台,3,0,0,,,,,True,
国信完整已提取原件,AP202104011480442029,688981.SH,中芯国际,3,0,0,,,,,True,
国信完整已提取原件,AP202104201486580213,603369.SH,今世缘,3,0,0,,,,,True,
国信完整已提取原件,AP202104251487654967,002027.SZ,分众传媒,3,0,0,,,,,True,
国信完整已提取原件,AP202104271488125799,600809.SH,山西汾酒,3,0,0,,,,,True,
国信完整已提取原件,AP202104281488334433,002756.SZ,永兴材料,3,0,0,,,,,True,
国信完整已提取原件,AP202104281488430805,000860.SZ,顺鑫农业,3,0,0,,,,,True,
国信完整已提取原件,AP202104291488571425,600519.SH,贵州茅台,3,0,0,,,,,True,
国信完整已提取原件,AP202104291488590484,000858.SZ,五粮液,3,0,0,,,,,True,
国信完整已提取原件,AP202105061490004331,000596.SZ,古井贡酒,3,0,0,,,,,True,
国信完整已提取原件,AP202105061490004349,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202105061490004418,000568.SZ,泸州老窖,3,0,0,,,,,True,
国信完整已提取原件,AP202105141491641105,688981.SH,中芯国际,3,0,0,,,,,True,
国信完整已提取原件,AP202108041508020604,002756.SZ,永兴材料,3,0,0,,,,,True,
国信完整已提取原件,AP202108061508408853,688981.SH,中芯国际,3,0,0,,,,,True,
国信完整已提取原件,AP202108261512499220,000651.SZ,格力电器,3,0,0,,,,,True,
国信完整已提取原件,AP202108311513453815,601658.SH,邮储银行,3,0,0,,,,,True,
国信完整已提取原件,AP202203081551300946,688223.SH,晶科能源,3,3,0,True,12.22375,12.43775,12.33,False,0.01686942416869424
国信完整已提取原件,AP202203091551564813,600309.SH,万华化学,3,3,0,True,85.11825,85.59925,85.43,False,0.003921339108041671
国信完整已提取原件,AP202203101551706977,601985.SH,中国核电,3,3,0,True,7.38675,7.50075,7.46,False,0.006434316353887399
国信完整已提取原件,AP202203101551735913,600989.SH,宝丰能源,3,3,0,True,16.57475,16.80825,16.70,False,0.001377245508982036
国信完整已提取原件,AP202203101551739416,000001.SZ,平安银行,3,3,0,True,13.77625,14.00425,13.84,False,0.006936416184971098
国信完整已提取原件,AP202203101551753257,300059.SZ,东方财富,3,3,0,True,24.14475,24.37125,24.26,False,0.002061005770816158
国信完整已提取原件,AP202203101551794875,601985.SH,中国核电,3,3,3,True,7.38675,7.50075,7.80,False,0.04974358974358974
国信完整已提取原件,AP202203111551912095,688363.SH,华熙生物,3,3,0,True,112.488775,112.693275,112.54,False,0.0018997689710325218
国信完整已提取原件,AP202203111551937123,000708.SZ,中信特钢,3,3,0,True,20.079675,20.152025,20.13,False,0.002220566318926975
国信完整已提取原件,AP202203151552756541,600050.SH,中国联通,3,3,1,True,3.59075,3.67875,3.69,False,0.028184281842818428
国信完整已提取原件,AP202203151552788656,600309.SH,万华化学,3,3,0,True,80.01875,80.65875,80.34,False,0.002912621359223301
国信完整已提取原件,AP202203151552796480,600460.SH,士兰微,3,3,0,True,56.52675,56.81375,56.67,False,0.003070407623080995
国信完整已提取原件,AP202203161552968155,601689.SH,拓普集团,3,3,0,True,53.81775,54.11125,54.06,False,0.0034776174620791715
国信完整已提取原件,AP202203171553155510,601985.SH,中国核电,3,3,3,True,8.12175,8.25425,7.96,False,0.033668341708542715
国信完整已提取原件,AP202203171553197245,000401.SZ,冀东水泥,3,3,0,True,10.76325,10.96875,10.91,False,0.0051329055912007334
国信完整已提取原件,AP202203171553207069,600315.SH,上海家化,3,3,0,True,34.991825,35.131775,35.00,False,0.0047
国信完整已提取原件,AP202203201553776369,300059.SZ,东方财富,3,3,0,True,25.81075,26.12025,25.99,False,0.0014236244709503656
国信完整已提取原件,AP202203201553776771,601318.SH,中国平安,3,0,0,,,,47.93,True,
国信完整已提取原件,AP202203201553798078,600036.SH,招商银行,3,3,2,True,46.77225,46.93075,46.17,False,0.0205761316872428
国信完整已提取原件,AP202203211553947628,600660.SH,福耀玻璃,3,3,0,True,37.74125,38.07625,37.93,False,0.0012918534141840232
国信完整已提取原件,AP202203211553983461,600588.SH,用友网络,3,3,0,True,24.98675,25.47125,25.44,False,0.013561320754716982
国信完整已提取原件,AP202203211553998471,600176.SH,中国巨石,3,3,0,True,16.06925,16.24125,16.17,False,0.0035868893011750153
国信完整已提取原件,AP202203211553998689,601728.SH,中国电信,3,3,0,True,3.99675,4.07025,4.05,False,0.012345679012345678
国信完整已提取原件,AP202203211554008064,601899.SH,紫金矿业,3,3,0,True,10.53675,10.68275,10.63,False,0.004891815616180621
国信完整已提取原件,AP202203211554008131,002384.SZ,东山精密,3,3,0,True,19.23375,19.36725,19.31,False,0.004453650958052822
国信完整已提取原件,AP202203211554018435,603993.SH,洛阳钼业,3,3,0,True,5.08375,5.19225,5.17,False,0.013539651837524178
国信完整已提取原件,AP202203231554447503,300957.SZ,贝泰妮,3,3,0,True,156.183225,156.330825,156.23,False,0.0014773090955642323
国信完整已提取原件,AP202203231554480805,000807.SZ,云铝股份,3,3,3,True,13.66875,13.88325,14.02,False,0.018544935805991442
国信完整已提取原件,AP202203241554616255,000786.SZ,北新建材,3,3,0,True,29.22075,29.49925,29.38,False,0.0028931245745405037
国信完整已提取原件,AP202203251554846559,000877.SZ,天山股份,3,3,0,True,12.99825,13.14925,13.07,False,0.0038255547054322878
国信完整已提取原件,AP202203251554876535,601166.SH,兴业银行,3,3,0,True,19.65425,20.09175,19.85,False,0.005037783375314861
国信完整已提取原件,AP202203251554880534,600941.SH,中国移动,3,3,3,True,64.47225,64.93525,66.75,False,0.03258426966292135
国信完整已提取原件,AP202203251554883644,601456.SH,国联证券,3,3,3,True,13.71025,13.84475,12.86,False,0.07566096423017107
国信完整已提取原件,AP202203281555473664,688111.SH,金山办公,3,3,0,True,187.67475,188.50425,188.36,False,0.0015449139944786578
国信完整已提取原件,AP202203281555491922,601328.SH,交通银行,3,3,3,True,4.60575,4.74375,4.91,False,0.0505091649694501
国信完整已提取原件,AP202203281555522862,603806.SH,福斯特,3,3,3,True,120.06125,120.60775,112.20,False,0.07315508021390374
国信完整已提取原件,AP202203281555522903,603288.SH,海天味业,3,3,3,True,89.83275,90.15875,88.08,False,0.023365122615803816
国信完整已提取原件,AP202203281555522914,601799.SH,星宇股份,3,3,0,True,145.33575,145.93425,145.50,False,0.0015807560137457044
国信完整已提取原件,AP202203281555522919,002050.SZ,三花智控,3,3,0,True,16.62325,16.73775,16.71,False,0.008019150209455416
国信完整已提取原件,AP202203281555545251,600585.SH,海螺水泥,3,3,0,True,36.67425,37.15725,36.87,False,0.004719283970707893
国信完整已提取原件,AP202203281555559078,000938.SZ,紫光股份,3,3,0,True,19.41125,19.58125,19.46,False,0.004676258992805755
国信完整已提取原件,AP202203281555591169,300999.SZ,金龙鱼,3,3,3,True,49.83225,50.18225,50.97,False,0.02177751618599176
国信完整已提取原件,AP202203291555760757,600754.SH,锦江酒店,3,3,0,True,47.87775,48.28975,48.14,False,0.0014540922309929372
国信完整已提取原件,AP202203291555773698,600600.SH,青岛啤酒,3,3,0,True,77.84775,78.22125,78.00,False,0.001641025641025641
国信完整已提取原件,AP202203291555781346,601985.SH,中国核电,3,3,3,True,8.12175,8.25425,7.63,False,0.07837483617300131
国信完整已提取原件,AP202203291555781347,002839.SZ,张家港行,3,3,0,True,5.95725,6.01975,6.00,False,0.01
国信完整已提取原件,AP202203291555781349,600030.SH,中信证券,3,3,0,True,20.3175,20.9475,20.46,False,0.021505376344086023
国信完整已提取原件,AP202203301555932817,600845.SH,宝信软件,3,3,0,True,46.83975,47.12925,47.10,False,0.0041613588110403395
国信完整已提取原件,AP202203301555974724,600011.SH,华能国际,3,3,3,True,6.29475,6.39375,7.11,False,0.1119549929676512
国信完整已提取原件,AP202203301555975280,601988.SH,中国银行,3,3,3,True,2.94375,3.01875,3.19,False,0.07272727272727272
国信完整已提取原件,AP202203301556005517,002241.SZ,歌尔股份,3,3,0,True,34.10675,34.21875,34.13,False,0.005391151479636683
国信完整已提取原件,AP202203301556016034,600426.SH,华鲁恒升,3,3,0,True,32.88425,33.33325,33.00,False,0.003909090909090909
国信完整已提取原件,AP202203301556016081,601939.SH,建设银行,3,3,3,True,4.66825,4.77225,6.23,False,0.24863563402889247
国信完整已提取原件,AP202203301556016132,600460.SH,士兰微,3,3,3,True,54.05325,54.53175,51.20,False,0.06078125
国信完整已提取原件,AP202203301556016138,601689.SH,拓普集团,3,3,0,True,54.66825,55.02375,54.90,False,0.0021493624772313297
国信完整已提取原件,AP202203301556073375,600066.SH,宇通客车,3,3,0,True,8.60475,8.75275,8.71,False,0.005970149253731343
国信完整已提取原件,AP202203311556256859,688521.SH,芯原股份,3,3,0,True,48.38625,48.79875,48.52,False,0.008367683429513603
