date,execution_date,decision_time,source_date,available_at,source_age_days,term_ratio,target,source_state
2012-05-28,2012-05-29,2012-05-29 09:00:00,2012-05-25,2012-05-26 05:00:00,3.1666666666666665,0.8828125,1.0,VIEW
2012-05-29,2012-05-30,2012-05-30 09:00:00,2012-05-29,2012-05-30 05:00:00,0.16666666666666666,0.9262957679505468,1.0,VIEW
2012-05-30,2012-05-31,2012-05-31 09:00:00,2012-05-30,2012-05-31 05:00:00,0.16666666666666666,0.9689312344656172,1.0,VIEW
2012-05-31,2012-06-01,2012-06-01 09:00:00,2012-05-31,2012-06-01 05:00:00,0.16666666666666666,0.93142144638404,1.0,VIEW
2012-06-01,2012-06-04,2012-06-04 09:00:00,2012-06-01,2012-06-02 05:00:00,2.1666666666666665,0.9827456864216054,1.0,VIEW
2012-06-04,2012-06-05,2012-06-05 09:00:00,2012-06-04,2012-06-05 05:00:00,0.16666666666666666,0.9444869831546708,1.0,VIEW
2012-06-05,2012-06-06,2012-06-06 09:00:00,2012-06-05,2012-06-06 05:00:00,0.16666666666666666,0.9388168557536467,1.0,VIEW
2012-06-06,2012-06-07,2012-06-07 09:00:00,2012-06-06,2012-06-07 05:00:00,0.16666666666666666,0.8713898916967509,1.0,VIEW
2012-06-07,2012-06-08,2012-06-08 09:00:00,2012-06-07,2012-06-08 05:00:00,0.16666666666666666,0.9033149171270719,1.0,VIEW
2012-06-08,2012-06-11,2012-06-11 09:00:00,2012-06-08,2012-06-09 05:00:00,2.1666666666666665,0.9349976448422045,1.0,VIEW
2012-06-11,2012-06-12,2012-06-12 09:00:00,2012-06-11,2012-06-12 05:00:00,0.16666666666666666,1.120118845500849,0.0,VIEW
2012-06-12,2012-06-13,2012-06-13 09:00:00,2012-06-12,2012-06-13 05:00:00,0.16666666666666666,1.0964237211407877,0.0,VIEW
2012-06-13,2012-06-14,2012-06-14 09:00:00,2012-06-13,2012-06-14 05:00:00,0.16666666666666666,1.0791100123609394,0.0,VIEW
2012-06-14,2012-06-15,2012-06-15 09:00:00,2012-06-14,2012-06-15 05:00:00,0.16666666666666666,1.1632841328413284,0.0,VIEW
2012-06-15,2012-06-18,2012-06-18 09:00:00,2012-06-15,2012-06-16 05:00:00,2.1666666666666665,1.1520606347702511,0.0,VIEW
2012-06-18,2012-06-19,2012-06-19 09:00:00,2012-06-18,2012-06-19 05:00:00,0.16666666666666666,1.0463973799126638,0.0,VIEW
