report_id,ts_code,institution,target_fiscal_year,eps_value_exact,eps_definition,net_profit_value_exact,pe_value_exact,conservative_information_date
AP201704040472718471,002493.SZ,东吴证券,2016,0.76,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-05
AP201704040472718471,002493.SZ,东吴证券,2017,1.09,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-05
AP201704040472718471,002493.SZ,东吴证券,2018,1.33,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-05
AP201704050475063094,002601.SZ,东吴证券,2017,1.19,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-05
AP201704050475063094,002601.SZ,东吴证券,2018,1.33,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-05
AP201704050475063094,002601.SZ,东吴证券,2019,1.52,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-05
AP201704130501418298,600346.SH,东吴证券,2017,0.52,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-13
AP201704130501418298,600346.SH,东吴证券,2018,0.64,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-13
AP201704130501418298,600346.SH,东吴证券,2019,0.71,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-13
AP201704180511042291,002493.SZ,东吴证券,2017,1.09,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-18
AP201704180511042291,002493.SZ,东吴证券,2018,1.25,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-18
AP201704180511042291,002493.SZ,东吴证券,2019,1.61,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-18
AP201704190512812628,000703.SZ,东吴证券,2017,0.86,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-19
AP201704190512812628,000703.SZ,东吴证券,2018,1.08,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-19
AP201704190512812628,000703.SZ,东吴证券,2019,1.28,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-19
AP201704260533313186,002493.SZ,东吴证券,2017,1.09,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-26
AP201704260533313186,002493.SZ,东吴证券,2018,1.25,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-26
AP201704260533313186,002493.SZ,东吴证券,2019,1.61,原文每股收益，未明确注明基本或摊薄定义,,,2017-04-26
AP201705220596047019,002493.SZ,东吴证券,2017,0.68,原文每股收益，未明确注明基本或摊薄定义,,,2017-05-22
AP201705220596047019,002493.SZ,东吴证券,2018,0.81,原文每股收益，未明确注明基本或摊薄定义,,,2017-05-22
AP201705220596047019,002493.SZ,东吴证券,2019,1.07,原文每股收益，未明确注明基本或摊薄定义,,,2017-05-22
AP201705220596098914,000703.SZ,东吴证券,2017,0.86,原文每股收益，未明确注明基本或摊薄定义,,,2017-05-22
AP201705220596098914,000703.SZ,东吴证券,2018,1.08,原文每股收益，未明确注明基本或摊薄定义,,,2017-05-22
AP201705220596098914,000703.SZ,东吴证券,2019,1.28,原文每股收益，未明确注明基本或摊薄定义,,,2017-05-22
AP201706160651730819,600346.SH,东吴证券,2017,0.45,原文每股收益，未明确注明基本或摊薄定义,,,2017-06-16
AP201706160651730819,600346.SH,东吴证券,2018,0.56,原文每股收益，未明确注明基本或摊薄定义,,,2017-06-16
AP201706160651730819,600346.SH,东吴证券,2019,0.64,原文每股收益，未明确注明基本或摊薄定义,,,2017-06-16
AP201707110709956102,002493.SZ,东吴证券,2017,0.67,原文每股收益，未明确注明基本或摊薄定义,,,2017-07-11
AP201707110709956102,002493.SZ,东吴证券,2018,0.81,原文每股收益，未明确注明基本或摊薄定义,,,2017-07-11
AP201707110709956102,002493.SZ,东吴证券,2019,1.06,原文每股收益，未明确注明基本或摊薄定义,,,2017-07-11
AP201708030768654740,002601.SZ,东吴证券,2017,1.34,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-03
AP201708030768654740,002601.SZ,东吴证券,2018,1.44,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-03
AP201708030768654740,002601.SZ,东吴证券,2019,1.59,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-03
AP201708030768954972,600346.SH,东吴证券,2017,0.47,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-03
AP201708030768954972,600346.SH,东吴证券,2018,0.56,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-03
AP201708030768954972,600346.SH,东吴证券,2019,0.64,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-03
AP201708150800521596,002493.SZ,东吴证券,2017,0.61,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-15
AP201708150800521596,002493.SZ,东吴证券,2018,0.78,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-15
AP201708150800521596,002493.SZ,东吴证券,2019,1.00,原文每股收益，未明确注明基本或摊薄定义,,,2017-08-15
AP201709290919896733,002493.SZ,东吴证券,2017,0.61,原文每股收益，未明确注明基本或摊薄定义,,,2017-09-29
AP201709290919896733,002493.SZ,东吴证券,2018,0.78,原文每股收益，未明确注明基本或摊薄定义,,,2017-09-29
AP201709290919896733,002493.SZ,东吴证券,2019,1.00,原文每股收益，未明确注明基本或摊薄定义,,,2017-09-29
AP201710200964898113,000703.SZ,东吴证券,2017,1.08,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-20
AP201710200964898113,000703.SZ,东吴证券,2018,1.26,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-20
AP201710200964898113,000703.SZ,东吴证券,2019,1.42,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-20
AP201710270982881898,002493.SZ,东吴证券,2017,0.55,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-27
AP201710270982881898,002493.SZ,东吴证券,2018,0.71,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-27
AP201710270982881898,002493.SZ,东吴证券,2019,0.89,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-27
AP201710310992357180,600346.SH,东吴证券,2017,0.53,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-31
AP201710310992357180,600346.SH,东吴证券,2018,0.63,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-31
AP201710310992357180,600346.SH,东吴证券,2019,0.70,原文每股收益，未明确注明基本或摊薄定义,,,2017-10-31
AP201711231057725694,002001.SZ,东吴证券,2017,1.55,原文每股收益，未明确注明基本或摊薄定义,,,2017-11-23
AP201711231057725694,002001.SZ,东吴证券,2018,1.97,原文每股收益，未明确注明基本或摊薄定义,,,2017-11-23
AP201711231057725694,002001.SZ,东吴证券,2019,2.38,原文每股收益，未明确注明基本或摊薄定义,,,2017-11-23
AP201712150012960661,600346.SH,东吴证券,2017,0.57,原文每股收益，未明确注明基本或摊薄定义,,,2017-12-15
AP201712150012960661,600346.SH,东吴证券,2018,0.67,原文每股收益，未明确注明基本或摊薄定义,,,2017-12-15
AP201712150012960661,600346.SH,东吴证券,2019,0.75,原文每股收益，未明确注明基本或摊薄定义,,,2017-12-15
AP201712181067325274,002493.SZ,东吴证券,2017,0.53,原文每股收益，未明确注明基本或摊薄定义,,,2017-12-18
AP201712181067325274,002493.SZ,东吴证券,2018,0.71,原文每股收益，未明确注明基本或摊薄定义,,,2017-12-18
AP201712181067325274,002493.SZ,东吴证券,2019,0.89,原文每股收益，未明确注明基本或摊薄定义,,,2017-12-18
AP201802081089176375,601966.SH,东吴证券,2017,0.86,原文每股收益，未明确注明基本或摊薄定义,,,2018-02-08
AP201802081089176375,601966.SH,东吴证券,2018,1.15,原文每股收益，未明确注明基本或摊薄定义,,,2018-02-08
AP201802081089176375,601966.SH,东吴证券,2019,1.34,原文每股收益，未明确注明基本或摊薄定义,,,2018-02-08
AP201802271094873609,600803.SH,东吴证券,2017,0.62,原文每股收益，未明确注明基本或摊薄定义,,,2018-02-27
AP201802271094873609,600803.SH,东吴证券,2018,1.22,原文每股收益，未明确注明基本或摊薄定义,,,2018-02-27
AP201802271094873609,600803.SH,东吴证券,2019,1.62,原文每股收益，未明确注明基本或摊薄定义,,,2018-02-27
AP201804031115672473,300144.SZ,东吴证券,2018,0.93,原文每股收益，未明确注明基本或摊薄定义,,22.46,2018-04-03
AP201804031115672473,300144.SZ,东吴证券,2019,1.10,原文每股收益，未明确注明基本或摊薄定义,,18.97,2018-04-03
AP201804031115672473,300144.SZ,东吴证券,2020,1.27,原文每股收益，未明确注明基本或摊薄定义,,16.33,2018-04-03
AP201804031115736399,600754.SH,东吴证券,2018,1.10,原文每股收益，未明确注明基本或摊薄定义,,31.78,2018-04-03
AP201804031115736399,600754.SH,东吴证券,2019,1.29,原文每股收益，未明确注明基本或摊薄定义,,26.98,2018-04-03
AP201804031115736399,600754.SH,东吴证券,2020,1.49,原文每股收益，未明确注明基本或摊薄定义,,23.31,2018-04-03
AP201804121122240222,300124.SZ,东吴证券,2017,0.65,原文每股收益，未明确注明基本或摊薄定义,,49.23,2018-04-12
AP201804121122240222,300124.SZ,东吴证券,2018,0.80,原文每股收益，未明确注明基本或摊薄定义,,39.97,2018-04-12
AP201804121122240222,300124.SZ,东吴证券,2019,1.05,原文每股收益，未明确注明基本或摊薄定义,,30.38,2018-04-12
AP201804251129736806,000860.SZ,东吴证券,2018,0.96,原文每股收益，未明确注明基本或摊薄定义,546,26.17,2018-04-25
AP201804251129736806,000860.SZ,东吴证券,2019,1.23,原文每股收益，未明确注明基本或摊薄定义,702,20.42,2018-04-25
AP201804251129736806,000860.SZ,东吴证券,2020,1.57,原文每股收益，未明确注明基本或摊薄定义,898,16.00,2018-04-25
AP201804261130865620,300144.SZ,东吴证券,2018,0.93,原文每股收益，未明确注明基本或摊薄定义,,21.39,2018-04-26
AP201804261130865620,300144.SZ,东吴证券,2019,1.10,原文每股收益，未明确注明基本或摊薄定义,,18.07,2018-04-26
AP201804261130865620,300144.SZ,东吴证券,2020,1.27,原文每股收益，未明确注明基本或摊薄定义,,15.56,2018-04-26
AP201805021134417427,600754.SH,东吴证券,2018,1.10,原文每股收益，未明确注明基本或摊薄定义,,28.97,2018-05-02
AP201805021134417427,600754.SH,东吴证券,2019,1.29,原文每股收益，未明确注明基本或摊薄定义,,24.60,2018-05-02
AP201805021134417427,600754.SH,东吴证券,2020,1.49,原文每股收益，未明确注明基本或摊薄定义,,21.26,2018-05-02
AP201805071138263268,300124.SZ,东吴证券,2018,0.80,原文每股收益，未明确注明基本或摊薄定义,,41.15,2018-05-07
AP201805071138263268,300124.SZ,东吴证券,2019,1.02,原文每股收益，未明确注明基本或摊薄定义,,32.20,2018-05-07
AP201805071138263268,300124.SZ,东吴证券,2020,1.33,原文每股收益，未明确注明基本或摊薄定义,,24.59,2018-05-07
AP201805071138338280,601888.SH,东吴证券,2018,1.82,原文每股收益，未明确注明基本或摊薄定义,,30.96,2018-05-07
AP201805071138338280,601888.SH,东吴证券,2019,2.13,原文每股收益，未明确注明基本或摊薄定义,,26.40,2018-05-07
AP201805071138338280,601888.SH,东吴证券,2020,2.48,原文每股收益，未明确注明基本或摊薄定义,,22.73,2018-05-07
AP201805161144390051,600606.SH,东吴证券,2018,0.91,原文每股收益，未明确注明基本或摊薄定义,11084.00,8.0,2018-05-16
AP201805161144390051,600606.SH,东吴证券,2019,1.11,原文每股收益，未明确注明基本或摊薄定义,13455.81,6.6,2018-05-16
AP201805161144390051,600606.SH,东吴证券,2020,1.33,原文每股收益，未明确注明基本或摊薄定义,16170.78,5.5,2018-05-16
AP201805231147841039,601607.SH,东吴证券,2018,1.47,原文每股收益，未明确注明基本或摊薄定义,,17.60,2018-05-23
AP201805231147841039,601607.SH,东吴证券,2019,1.75,原文每股收益，未明确注明基本或摊薄定义,,14.78,2018-05-23
AP201805231147841039,601607.SH,东吴证券,2020,2.01,原文每股收益，未明确注明基本或摊薄定义,,12.85,2018-05-23
AP201805281149682885,600426.SH,东吴证券,2018,1.64,原文每股收益，未明确注明基本或摊薄定义,,12.13,2018-05-28
AP201805281149682885,600426.SH,东吴证券,2019,1.90,原文每股收益，未明确注明基本或摊薄定义,,10.47,2018-05-28
AP201805281149682885,600426.SH,东吴证券,2020,2.02,原文每股收益，未明确注明基本或摊薄定义,,9.88,2018-05-28
AP201805281149682886,300476.SZ,东吴证券,2018,0.60,原文每股收益，未明确注明基本或摊薄定义,,25.99,2018-05-28
AP201805281149682886,300476.SZ,东吴证券,2019,0.89,原文每股收益，未明确注明基本或摊薄定义,,17.65,2018-05-28
AP201805281149682886,300476.SZ,东吴证券,2020,1.17,原文每股收益，未明确注明基本或摊薄定义,,13.42,2018-05-28
AP201806041152014569,300316.SZ,东吴证券,2018,0.57,原文每股收益，未明确注明基本或摊薄定义,,26.76,2018-06-04
AP201806041152014569,300316.SZ,东吴证券,2019,0.73,原文每股收益，未明确注明基本或摊薄定义,,20.67,2018-06-04
AP201806041152014569,300316.SZ,东吴证券,2020,0.95,原文每股收益，未明确注明基本或摊薄定义,,15.88,2018-06-04
AP201806041152064381,002624.SZ,东吴证券,2018,1.54,原文每股收益，未明确注明基本或摊薄定义,,21.1,2018-06-04
AP201806041152064381,002624.SZ,东吴证券,2019,1.91,原文每股收益，未明确注明基本或摊薄定义,,17.0,2018-06-04
AP201806041152064381,002624.SZ,东吴证券,2020,2.21,原文每股收益，未明确注明基本或摊薄定义,,14.7,2018-06-04
AP201806061153493034,002422.SZ,东吴证券,2018,0.79,原文每股收益，未明确注明基本或摊薄定义,,42.25,2018-06-06
AP201806061153493034,002422.SZ,东吴证券,2019,1.03,原文每股收益，未明确注明基本或摊薄定义,,32.25,2018-06-06
AP201806061153493034,002422.SZ,东吴证券,2020,1.44,原文每股收益，未明确注明基本或摊薄定义,,23.20,2018-06-06
AP201806181156591092,002624.SZ,东吴证券,2018,1.54,原文每股收益，未明确注明基本或摊薄定义,,21.1,2018-06-18
AP201806181156591092,002624.SZ,东吴证券,2019,1.91,原文每股收益，未明确注明基本或摊薄定义,,17.0,2018-06-18
AP201806181156591092,002624.SZ,东吴证券,2020,2.21,原文每股收益，未明确注明基本或摊薄定义,,14.7,2018-06-18
AP201806211157626261,600383.SH,东吴证券,2018,1.85,原文每股收益，未明确注明基本或摊薄定义,,5.86,2018-06-21
AP201806211157626261,600383.SH,东吴证券,2019,2.32,原文每股收益，未明确注明基本或摊薄定义,,4.68,2018-06-21
AP201806211157626261,600383.SH,东吴证券,2020,2.87,原文每股收益，未明确注明基本或摊薄定义,,3.79,2018-06-21
AP201806221158115348,300133.SZ,东吴证券,2018,0.45,原文每股收益，未明确注明基本或摊薄定义,,22.80,2018-06-22
AP201806221158115348,300133.SZ,东吴证券,2019,0.59,原文每股收益，未明确注明基本或摊薄定义,,17.39,2018-06-22
AP201806221158115348,300133.SZ,东吴证券,2020,0.77,原文每股收益，未明确注明基本或摊薄定义,,13.32,2018-06-22
AP201806261159247068,000826.SZ,东吴证券,2018,1.18,原文每股收益，未明确注明基本或摊薄定义,,14.57,2018-06-26
AP201806261159247068,000826.SZ,东吴证券,2019,1.54,原文每股收益，未明确注明基本或摊薄定义,,11.16,2018-06-26
AP201806261159247068,000826.SZ,东吴证券,2020,2.00,原文每股收益，未明确注明基本或摊薄定义,,8.60,2018-06-26
AP201806271159586741,300450.SZ,东吴证券,2018,1.16,原文每股收益，未明确注明基本或摊薄定义,,24.84,2018-06-27
AP201806271159586741,300450.SZ,东吴证券,2019,1.73,原文每股收益，未明确注明基本或摊薄定义,,16.70,2018-06-27
AP201806271159586741,300450.SZ,东吴证券,2020,2.30,原文每股收益，未明确注明基本或摊薄定义,,12.56,2018-06-27
AP201806281159912532,600498.SH,东吴证券,2018,0.95,原文每股收益，未明确注明基本或摊薄定义,,24.35,2018-06-28
AP201806281159912532,600498.SH,东吴证券,2019,1.22,原文每股收益，未明确注明基本或摊薄定义,,19.00,2018-06-28
AP201806281159912532,600498.SH,东吴证券,2020,1.54,原文每股收益，未明确注明基本或摊薄定义,,14.95,2018-06-28
AP201806281159982676,300124.SZ,东吴证券,2017,0.64,原文每股收益，未明确注明基本或摊薄定义,,52.01,2018-06-28
AP201806281159982676,300124.SZ,东吴证券,2018,0.79,原文每股收益，未明确注明基本或摊薄定义,,41.68,2018-06-28
AP201806281159982676,300124.SZ,东吴证券,2019,1.04,原文每股收益，未明确注明基本或摊薄定义,,31.86,2018-06-28
AP201806281159982676,300124.SZ,东吴证券,2020,1.36,原文每股收益，未明确注明基本或摊薄定义,,24.31,2018-06-28
AP201807011161528904,600754.SH,东吴证券,2018,1.10,原文每股收益，未明确注明基本或摊薄定义,,33.74,2018-07-02
AP201807011161528904,600754.SH,东吴证券,2019,1.29,原文每股收益，未明确注明基本或摊薄定义,,28.65,2018-07-02
