fit_index,fit_origin,status,failure,source_input_identity,first_attempt_fit_index,parameter_first_fit_index,reused_previous_input,fixed_prediction_identity,active_factor_count,prior_advantage,payoff_advantage,payoff_disadvantage,all_constant_model
1121,2017-01-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,,
1139,2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,,
1157,2017-03-01,FIT_COMPLETE,,2eec09de3340fdfa80ec2c992f82ca2529f41df972463f04462aca13279b17f2,1157.0,1157.0,False,c497993dd5984d7049cf64f0b9894754bcd4625d702fe9b1a2bd94a852d6caf6,7.0,0.5033824424163408,0.07866752481806225,-0.03796393280601215,False
1180,2017-04-05,FIT_COMPLETE,,2eec09de3340fdfa80ec2c992f82ca2529f41df972463f04462aca13279b17f2,1157.0,1157.0,True,c497993dd5984d7049cf64f0b9894754bcd4625d702fe9b1a2bd94a852d6caf6,7.0,0.5033824424163408,0.07866752481806225,-0.03796393280601215,False
1198,2017-05-02,FIT_COMPLETE,,2eec09de3340fdfa80ec2c992f82ca2529f41df972463f04462aca13279b17f2,1157.0,1157.0,True,c497993dd5984d7049cf64f0b9894754bcd4625d702fe9b1a2bd94a852d6caf6,7.0,0.5033824424163408,0.07866752481806225,-0.03796393280601215,False
1218,2017-06-01,FIT_COMPLETE,,4b89b2cd1528c573bf18c05dfd445e77e21d25df5418cb200da7f6299ad3a04d,1218.0,1218.0,False,bf86e06273bfb12d2331f9ee9513e8f727a91cc7119fa95a0ccc283f98caa8fe,7.0,0.45762040219667344,0.07866752481806225,-0.03746761102833889,False
1240,2017-07-03,FIT_COMPLETE,,4b89b2cd1528c573bf18c05dfd445e77e21d25df5418cb200da7f6299ad3a04d,1218.0,1218.0,True,bf86e06273bfb12d2331f9ee9513e8f727a91cc7119fa95a0ccc283f98caa8fe,7.0,0.45762040219667344,0.07866752481806225,-0.03746761102833889,False
1261,2017-08-01,FIT_COMPLETE,,4b89b2cd1528c573bf18c05dfd445e77e21d25df5418cb200da7f6299ad3a04d,1218.0,1218.0,True,bf86e06273bfb12d2331f9ee9513e8f727a91cc7119fa95a0ccc283f98caa8fe,7.0,0.45762040219667344,0.07866752481806225,-0.03746761102833889,False
1284,2017-09-01,FIT_COMPLETE,,1b8eff3528583afc93de46e4d55efcbc668e3204b23817496815052f237dc6ff,1284.0,1284.0,False,6732e58096f3410c7b3e2fdf0add48bada8fece02300e3997d7e041c099de0e2,7.0,0.47315768506446476,0.07392349857429592,-0.03636896187287573,False
1305,2017-10-09,FIT_COMPLETE,,1b8eff3528583afc93de46e4d55efcbc668e3204b23817496815052f237dc6ff,1284.0,1284.0,True,6732e58096f3410c7b3e2fdf0add48bada8fece02300e3997d7e041c099de0e2,7.0,0.47315768506446476,0.07392349857429592,-0.03636896187287573,False
1322,2017-11-01,FIT_COMPLETE,,1b8eff3528583afc93de46e4d55efcbc668e3204b23817496815052f237dc6ff,1284.0,1284.0,True,6732e58096f3410c7b3e2fdf0add48bada8fece02300e3997d7e041c099de0e2,7.0,0.47315768506446476,0.07392349857429592,-0.03636896187287573,False
1344,2017-12-01,FIT_COMPLETE,,f863f7803bcae3cd5d2fea5859aa01c9038f8afce3a546601c849af920a7c6d2,1344.0,1344.0,False,ed6de728a3256a706dd8259c1705ffeac813192a80754f5ab35ed0e868d2fe5c,7.0,0.5084688931233912,0.07029768212879778,-0.036080236940157176,False
1365,2018-01-02,FIT_COMPLETE,,f863f7803bcae3cd5d2fea5859aa01c9038f8afce3a546601c849af920a7c6d2,1344.0,1344.0,True,ed6de728a3256a706dd8259c1705ffeac813192a80754f5ab35ed0e868d2fe5c,7.0,0.5084688931233912,0.07029768212879778,-0.036080236940157176,False
1387,2018-02-01,FIT_COMPLETE,,f863f7803bcae3cd5d2fea5859aa01c9038f8afce3a546601c849af920a7c6d2,1344.0,1344.0,True,ed6de728a3256a706dd8259c1705ffeac813192a80754f5ab35ed0e868d2fe5c,7.0,0.5084688931233912,0.07029768212879778,-0.036080236940157176,False
1402,2018-03-01,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,False,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1424,2018-04-02,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1442,2018-05-02,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1464,2018-06-01,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1484,2018-07-02,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1506,2018-08-01,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1529,2018-09-03,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1548,2018-10-08,FIT_COMPLETE,,326198800afa446dfe00eb358bfd416cecf005e18664cd8fd1cfb70da7554150,1402.0,1402.0,True,4240aaf6286b2f91a747e755256e0c98ee870fdae6860b6d6f29cff9ccf45118,7.0,0.4721496864717204,0.07029768212879778,-0.03857517495897573,False
1566,2018-11-01,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,False,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1588,2018-12-03,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,True,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1608,2019-01-02,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,True,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1630,2019-02-01,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,True,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1645,2019-03-01,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,True,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1666,2019-04-01,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,True,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1687,2019-05-06,FIT_COMPLETE,,feb470b61020c00ad27a4db63e65dc8ff24eccf2f91fc58a9417abfb0d30fd58,1566.0,1566.0,True,58d36d5700b577dfad170bae2ba481ddfbb5537c624ecb0322e9893fef7a2227,7.0,0.4406730407069391,0.07029768212879778,-0.038891164496829916,False
1707,2019-06-03,FIT_COMPLETE,,f0e7b7b993fe5be9b3dfa3beba53d2bbf0e901272a762f9d1aafab2bbc298c08,1707.0,1707.0,False,a71a0dd9fe4a05b40af7bebfd3a41705945c575d10a208d9c26ad90a0925229d,7.0,0.4145844640348484,0.07007707694691796,-0.03992172208180019,False
1726,2019-07-01,FIT_COMPLETE,,f0e7b7b993fe5be9b3dfa3beba53d2bbf0e901272a762f9d1aafab2bbc298c08,1707.0,1707.0,True,a71a0dd9fe4a05b40af7bebfd3a41705945c575d10a208d9c26ad90a0925229d,7.0,0.4145844640348484,0.07007707694691796,-0.03992172208180019,False
1749,2019-08-01,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,False,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1771,2019-09-02,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1791,2019-10-08,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1809,2019-11-01,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1830,2019-12-02,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1852,2020-01-02,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1868,2020-02-03,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1888,2020-03-02,FIT_COMPLETE,,85132bac1a7080b6b742c202dbe1f6df41e5f72d4cd6cfcec51d600e47f2e1a9,1749.0,1749.0,True,c1d030fcb0e5af387748a7c141965deb1447ab64aea165b2836a5972c1225010,7.0,0.44282872156840225,0.06865686177385771,-0.039581609172903126,False
1910,2020-04-01,FIT_COMPLETE,,d61b32e3e2dcbf86ae726cc225517bb44d244781d8c671fefcd9e40007d97274,1910.0,1910.0,False,79d26b9262c678ed845a53eb35a37cb8735d60d39e09697f3753619e948ba847,7.0,0.4182271259257132,0.06865686177385771,-0.04164137717450941,False
1931,2020-05-06,FIT_COMPLETE,,d61b32e3e2dcbf86ae726cc225517bb44d244781d8c671fefcd9e40007d97274,1910.0,1910.0,True,79d26b9262c678ed845a53eb35a37cb8735d60d39e09697f3753619e948ba847,7.0,0.4182271259257132,0.06865686177385771,-0.04164137717450941,False
1949,2020-06-01,FIT_COMPLETE,,dc96694ba0d9886a9f4e1b27951ba13d7d16b867693535da0898ddafbcd847b6,1949.0,1949.0,False,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,7.0,0.43130289122786863,0.06498677556353746,-0.041046126472914654,False
1969,2020-07-01,FIT_COMPLETE,,dc96694ba0d9886a9f4e1b27951ba13d7d16b867693535da0898ddafbcd847b6,1949.0,1949.0,True,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,7.0,0.43130289122786863,0.06498677556353746,-0.041046126472914654,False
1992,2020-08-03,FIT_COMPLETE,,dc96694ba0d9886a9f4e1b27951ba13d7d16b867693535da0898ddafbcd847b6,1949.0,1949.0,True,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,7.0,0.43130289122786863,0.06498677556353746,-0.041046126472914654,False
2013,2020-09-01,FIT_COMPLETE,,dc96694ba0d9886a9f4e1b27951ba13d7d16b867693535da0898ddafbcd847b6,1949.0,1949.0,True,22104a650359019e18654f983c12e9804d878bed5701dc809e9a29c04adb5379,7.0,0.43130289122786863,0.06498677556353746,-0.041046126472914654,False
2035,2020-10-09,FIT_COMPLETE,,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035.0,2035.0,False,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,7.0,0.4207546958190176,0.06398114318381631,-0.03952966880031708,False
2051,2020-11-02,FIT_COMPLETE,,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035.0,2035.0,True,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,7.0,0.4207546958190176,0.06398114318381631,-0.03952966880031708,False
2072,2020-12-01,FIT_COMPLETE,,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035.0,2035.0,True,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,7.0,0.4207546958190176,0.06398114318381631,-0.03952966880031708,False
2095,2021-01-04,FIT_COMPLETE,,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035.0,2035.0,True,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,7.0,0.4207546958190176,0.06398114318381631,-0.03952966880031708,False
2115,2021-02-01,FIT_COMPLETE,,809eeeaee25f9c2010732b36fb6b9b63957fe963773f208bec80297e4b470068,2035.0,2035.0,True,c38159bfbf4735efa976e1933f314f0c9c1315766077b3d95313b29dda024500,7.0,0.4207546958190176,0.06398114318381631,-0.03952966880031708,False
2130,2021-03-01,FIT_COMPLETE,,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130.0,2130.0,False,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,7.0,0.3831070327476257,0.06748116202227915,-0.03916882241514224,False
2153,2021-04-01,FIT_COMPLETE,,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130.0,2130.0,True,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,7.0,0.3831070327476257,0.06748116202227915,-0.03916882241514224,False
2174,2021-05-06,FIT_COMPLETE,,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130.0,2130.0,True,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,7.0,0.3831070327476257,0.06748116202227915,-0.03916882241514224,False
2192,2021-06-01,FIT_COMPLETE,,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130.0,2130.0,True,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,7.0,0.3831070327476257,0.06748116202227915,-0.03916882241514224,False
2213,2021-07-01,FIT_COMPLETE,,65f476331433311a5ebd38d7e04e5cfbe675defca16a9f796902a638fa5a257b,2130.0,2130.0,True,3d06c586fe2be3fdcdb9f2785b8368799cf6be2b4911a6a8d795ec8f75d52365,7.0,0.3831070327476257,0.06748116202227915,-0.03916882241514224,False
2235,2021-08-02,FIT_COMPLETE,,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235.0,2235.0,False,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,7.0,0.35137626351685647,0.05745729502010379,-0.04137647936714922,False
2257,2021-09-01,FIT_COMPLETE,,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235.0,2235.0,True,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,7.0,0.35137626351685647,0.05745729502010379,-0.04137647936714922,False
2277,2021-10-08,FIT_COMPLETE,,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235.0,2235.0,True,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,7.0,0.35137626351685647,0.05745729502010379,-0.04137647936714922,False
2293,2021-11-01,FIT_COMPLETE,,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235.0,2235.0,True,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,7.0,0.35137626351685647,0.05745729502010379,-0.04137647936714922,False
2315,2021-12-01,FIT_COMPLETE,,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235.0,2235.0,True,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,7.0,0.35137626351685647,0.05745729502010379,-0.04137647936714922,False
2338,2022-01-04,FIT_COMPLETE,,28693a776993ef1c3ce0beecb382d246104cce4adefea731bb74072df45fbf62,2235.0,2235.0,True,9d72eb9020ac60a1b7cb4a956c3a46e998170739a122d0acc34cbb3d686973fb,7.0,0.35137626351685647,0.05745729502010379,-0.04137647936714922,False
2357,2022-02-07,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,False,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2373,2022-03-01,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,True,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2396,2022-04-01,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,True,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2415,2022-05-05,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,True,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2434,2022-06-01,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,True,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2455,2022-07-01,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,True,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2476,2022-08-01,FIT_COMPLETE,,a1d2870d25de2b9748ff8a7c5108d18ac32f6609e7eea4204ae033e27041a7ac,2357.0,2357.0,True,cb3b5fd6f5ba6c8bdf32b3cc96b5fdf0988bedc45d447959d1718d1d4997d74d,7.0,0.34304293018352316,0.05868681620436217,-0.04089686463869968,False
2499,2022-09-01,FIT_COMPLETE,,9cf5033c0afa2c357ee77dfb3f3aaffb1b2ce0ce84125c287de759c5fe2e9877,2499.0,2499.0,False,564964ccc4887887a7a12f8048c92e2426373faee3c2b8936036e5603fe6fcf8,7.0,0.31213302831019574,0.03663893753115723,-0.04126000282265409,False
2520,2022-10-10,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,False,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2536,2022-11-01,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2558,2022-12-01,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2580,2023-01-03,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2596,2023-02-01,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2616,2023-03-01,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2639,2023-04-03,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2658,2023-05-04,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2678,2023-06-01,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2698,2023-07-03,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
2719,2023-08-01,FIT_COMPLETE,,0e90be5cf4f477c1e95c0b6b44ec3fb2146b610d2d79ac9ed5f00b6a146ea1c6,2520.0,2520.0,True,59cf0316edf52f8e17708d473c5e69e95443ec6690eda7d6ec91d370e77e9970,7.0,0.3181330283101957,0.03602423038253821,-0.036742650708847885,False
