因子字段,因子组,中文定义,单位或含义,可用时点,问题或使用边界,本次检查结论,非缺失行数,缺失行数,最小值,最大值
mom1,价格与财富,最近1个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3455,1,-0.10541826738317514,0.09523142207618202
mom2,价格与财富,最近2个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3454,2,-0.1949247827740266,0.19032677654461272
mom5,价格与财富,最近5个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3451,5,-0.24915170091095373,0.254153323019331
mom10,价格与财富,最近10个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3446,10,-0.341163989404121,0.31246535098355377
mom20,价格与财富,最近20个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3436,20,-0.41856594095135724,0.27516724349020094
mom60,价格与财富,最近60个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3396,60,-0.5304113120704812,0.39744167484340015
mom120,价格与财富,最近120个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3336,120,-0.3627875316022477,0.6792947481915449
mom252,价格与财富,最近252个交易日含分红日收益加一后的自然对数之和,含分红对数回报,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3204,252,-0.5241643664823241,0.9224425420272447
sma5,价格与财富,累计含分红财富除以最近5日财富均值，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3452,4,-0.15260496562695303,0.1352786568685298
sma20,价格与财富,累计含分红财富除以最近20日财富均值，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3437,19,-0.24345698431423957,0.2789703303233664
sma60,价格与财富,累计含分红财富除以最近60日财富均值，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3397,59,-0.30471332729907297,0.29102270141599385
sma120,价格与财富,累计含分红财富除以最近120日财富均值，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3337,119,-0.3106808268903035,0.4070920542666461
sma200,价格与财富,累计含分红财富除以最近200日财富均值，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3257,199,-0.2706402755479633,0.5838015351055568
vol5,价格与财富,最近5日含分红收益样本标准差，乘二百四十二的平方根,年化比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3451,5,0.007177728822011139,1.3748567886333474
vol20,价格与财富,最近20日含分红收益样本标准差，乘二百四十二的平方根,年化比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3436,20,0.048557344371483624,0.8943578285253635
vol60,价格与财富,最近60日含分红收益样本标准差，乘二百四十二的平方根,年化比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3396,60,0.07187371219416938,0.69403546524574
downvol20,价格与财富,最近20日将正收益记零，负收益平方的日均值乘二百四十二后开方,年化下行波动,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3436,20,0.008697435038168203,0.652608595788217
downvol60,价格与财富,最近60日将正收益记零，负收益平方的日均值乘二百四十二后开方,年化下行波动,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3396,60,0.029042280074249104,0.5490844536594883
dd20,价格与财富,当前累计含分红财富除以最近20日最高财富，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3437,19,-0.34635711589278984,0.0
dd60,价格与财富,当前累计含分红财富除以最近60日最高财富，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3397,59,-0.4378062570674711,0.0
dd120,价格与财富,当前累计含分红财富除以最近120日最高财富，再减一,比例,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3337,119,-0.4378062570674711,0.0
overnight_log_1,价格与财富,最近1日隔夜财富变化之和；开盘价加当日每份分红，除以前收盘价后取自然对数,含现金权益的财富分解,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3455,1,-0.08060592931613568,0.09524574889035009
overnight_log_5,价格与财富,最近5日隔夜财富变化之和；开盘价加当日每份分红，除以前收盘价后取自然对数,含现金权益的财富分解,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3451,5,-0.1047357111126197,0.16284295323905829
overnight_log_20,价格与财富,最近20日隔夜财富变化之和；开盘价加当日每份分红，除以前收盘价后取自然对数,含现金权益的财富分解,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。,逐值独立复算通过,3436,20,-0.20451613881193237,0.1617345036412441
intraday_log_1,价格与财富,最近1日日内财富变化之和；收盘价加分红，除以开盘价加分红，再取自然对数,含现金权益的财富分解,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。日内项含现金权益，不能解释为纯开盘买入、收盘卖出的回报。,逐值独立复算通过,3456,0,-0.08393890826000541,0.10772613642195336
intraday_log_5,价格与财富,最近5日日内财富变化之和；收盘价加分红，除以开盘价加分红，再取自然对数,含现金权益的财富分解,当日收盘后，次日开盘执行,使用历史供应商行情；没有逐日首次交付快照证明。日内项含现金权益，不能解释为纯开盘买入、收盘卖出的回报。,逐值独立复算通过,3452,4,-0.2250147832818284,0.17715783818570727
