report_id,ts_code,first_used_month,last_used_month,company_months,original_prediction_months,any_original_training_months,report_relation_eligible,report_relation_status
AP202005061379307595,601658.SH,2020-06-30,2020-08-31,3,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202008301404193861,000860.SZ,2020-08-31,2020-10-30,3,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202009011405118140,601658.SH,2020-09-30,2020-10-30,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202009081409213944,600809.SH,2020-09-30,2021-02-26,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202010271423959276,600519.SH,2020-10-30,2020-11-30,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202010301425000808,601658.SH,2020-11-30,2020-11-30,1,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202011031425985402,000568.SZ,2020-11-30,2020-12-31,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202011031425999044,002304.SZ,2020-11-30,2021-04-30,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202011031426026898,000858.SZ,2020-11-30,2021-03-31,5,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202011031426038423,000860.SZ,2020-11-30,2020-12-31,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202011031426077990,000596.SZ,2020-11-30,2021-04-30,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202101041446860362,000860.SZ,2021-01-29,2021-02-26,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202103101470303306,600809.SH,2021-03-31,2021-03-31,1,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202103301478690946,601658.SH,2021-03-31,2021-04-30,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202104201486580213,603369.SH,2021-04-30,2021-04-30,1,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202104251487654967,002027.SZ,2021-04-30,2021-09-30,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202104271488125799,600809.SH,2021-04-30,2021-06-30,3,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202104281488430805,000860.SZ,2021-04-30,2021-09-30,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202104291488571425,600519.SH,2021-04-30,2021-09-30,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202104291488590484,000858.SZ,2021-04-30,2021-05-31,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202105061490004331,000596.SZ,2021-05-31,2021-05-31,1,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202105061490004349,601658.SH,2021-05-31,2021-08-31,4,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202105061490004418,000568.SZ,2021-05-31,2021-06-30,2,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202108261512499220,000651.SZ,2021-08-31,2022-01-28,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202108311513453815,601658.SH,2021-09-30,2022-02-28,6,0,0,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202203101551735913,600989.SH,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203101551739416,000001.SZ,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203111551912095,688363.SH,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203111551937123,000708.SZ,2022-03-31,2022-07-29,5,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203151552756541,600050.SH,2022-03-31,2022-03-31,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203151552788656,600309.SH,2022-03-31,2022-08-31,6,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203201553776369,300059.SZ,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203201553798078,600036.SH,2022-03-31,2022-03-31,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203211553947628,600660.SH,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203211553983461,600588.SH,2022-03-31,2022-05-31,3,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203211553998471,600176.SH,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203211553998689,601728.SH,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203211554018435,603993.SH,2022-03-31,2022-05-31,3,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203241554616255,000786.SZ,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203251554876535,601166.SH,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203281555473664,688111.SH,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203281555491922,601328.SH,2022-03-31,2022-04-29,2,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203281555522903,603288.SH,2022-03-31,2022-04-29,2,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203281555522914,601799.SH,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203281555522919,002050.SZ,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203281555545251,600585.SH,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203281555559078,000938.SZ,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203281555591169,300999.SZ,2022-03-31,2022-07-29,5,0,2,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203291555781346,601985.SH,2022-03-31,2022-05-31,3,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203291555781349,600030.SH,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203301555932817,600845.SH,2022-03-31,2022-04-29,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203301555974724,600011.SH,2022-03-31,2022-06-30,4,0,1,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203301555975280,601988.SH,2022-03-31,2022-04-29,2,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203301556005517,002241.SZ,2022-03-31,2022-03-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203301556016034,600426.SH,2022-03-31,2022-08-31,6,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203301556016081,601939.SH,2022-03-31,2022-04-29,2,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203311556256929,002202.SZ,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203311556286052,601658.SH,2022-04-29,2022-04-29,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203311556286148,601398.SH,2022-04-29,2022-04-29,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203311556318945,601111.SH,2022-04-29,2022-05-31,2,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203311556319112,688012.SH,2022-04-29,2022-05-31,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203311556319114,601288.SH,2022-04-29,2022-04-29,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202203311556322942,000725.SZ,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202203311556330750,601688.SH,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204011556500662,600570.SH,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204011556500709,002460.SZ,2022-04-29,2022-08-31,5,0,3,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204011556506012,600029.SH,2022-04-29,2022-08-31,5,0,3,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204011556520318,601155.SH,2022-04-29,2022-08-31,5,0,3,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204011556595137,601995.SH,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204021556732711,600115.SH,2022-04-29,2022-08-31,5,0,3,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204061557577518,688005.SH,2022-06-30,2022-08-31,3,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204061557582051,603899.SH,2022-04-29,2022-04-29,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204061557625662,600104.SH,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204071557765295,601618.SH,2022-04-29,2022-08-31,5,0,3,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204081557995978,600690.SH,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204081558002730,601868.SH,2022-04-29,2022-09-30,6,0,4,False,NO_VIEW_REFERENCE_PRICE_MISSING
AP202204111558582673,000977.SZ,2022-04-29,2022-08-31,5,0,3,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204111558638553,300223.SZ,2022-06-30,2022-07-29,2,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204121558822673,601899.SH,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204121558841723,002352.SZ,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204141559180827,002271.SZ,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204151559412890,600660.SH,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204151559458306,600111.SH,2022-04-29,2022-05-31,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204171559836189,002709.SZ,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204181559994991,600926.SH,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204181560019640,002920.SZ,2022-06-30,2022-06-30,1,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204181560030967,002415.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204191560226493,600989.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204191560234064,603195.SH,2022-04-29,2022-07-29,4,0,2,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204191560244515,000301.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204191560292553,600009.SH,2022-04-29,2022-09-30,6,0,4,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204201560396100,600048.SH,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204211560635158,601728.SH,2022-04-29,2022-09-30,6,0,4,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204221560841250,300498.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204221560841255,002311.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204221560858206,002230.SZ,2022-04-29,2022-07-29,4,0,2,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204221560864628,600941.SH,2022-06-30,2022-07-29,2,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204241561240458,688169.SH,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204241561269256,601888.SH,2022-04-29,2022-05-31,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204251561434437,300144.SZ,2022-04-29,2022-05-31,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204251561434533,300059.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204251561484557,603833.SH,2022-04-29,2022-04-29,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204251561484660,601633.SH,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204251561504225,600036.SH,2022-04-29,2022-07-29,4,0,2,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204251561516730,300450.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204251561526092,300628.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561643525,600050.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561671904,603486.SH,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561671951,600031.SH,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561672438,600383.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561699286,300413.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561699288,300866.SZ,2022-04-29,2022-05-31,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561699530,002050.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561721172,600999.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561721432,688363.SH,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561764181,601100.SH,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204261561764293,600176.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204271561899119,000877.SZ,2022-06-30,2022-07-29,2,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204271561940918,300896.SZ,2022-04-29,2022-05-31,2,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204271561941015,000001.SZ,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204271561941023,300888.SZ,2022-04-29,2022-05-31,2,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204271561941042,002142.SZ,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204271561984428,603501.SH,2022-04-29,2022-09-30,6,0,4,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562119071,688561.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562119198,600519.SH,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562134815,002241.SZ,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562140908,002791.SZ,2022-04-29,2022-06-30,3,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562174408,002120.SZ,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562174890,002841.SZ,2022-04-29,2022-08-31,5,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562180476,601799.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562186258,601838.SH,2022-04-29,2022-07-29,4,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204281562202708,300957.SZ,2022-06-30,2022-07-29,2,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562308717,300316.SZ,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562308924,300454.SZ,2022-06-30,2022-08-31,3,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562308941,002475.SZ,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562308979,002271.SZ,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562313758,601166.SH,2022-05-31,2022-08-31,4,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562313834,600845.SH,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562326328,600030.SH,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562326478,300496.SZ,2022-06-30,2022-07-29,2,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562335327,002493.SZ,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562335341,688111.SH,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204291562335369,300015.SZ,2022-05-31,2022-07-29,3,0,2,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204291562335380,000938.SZ,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204301562448755,600570.SH,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204301562449075,600600.SH,2022-05-31,2022-09-30,5,0,4,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202204301562449139,600690.SH,2022-05-31,2022-08-31,4,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204301562449242,300122.SZ,2022-05-31,2022-09-30,5,0,4,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204301562449305,601238.SH,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204301562449344,002371.SZ,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202204301562449385,600809.SH,2022-05-31,2022-07-29,3,0,2,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202205051563683728,000876.SZ,2022-05-31,2022-10-31,6,0,5,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205051563692474,002064.SZ,2022-05-31,2022-10-31,6,0,5,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205061563820574,000895.SZ,2022-05-31,2022-10-31,6,0,5,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202205071564053987,600019.SH,2022-05-31,2022-08-31,4,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205071564089244,688036.SH,2022-05-31,2022-05-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205071564089256,601021.SH,2022-05-31,2022-10-31,6,0,5,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202205091564455932,603659.SH,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205091564529823,300601.SZ,2022-05-31,2022-10-31,6,0,5,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205091564542275,601688.SH,2022-05-31,2022-10-31,6,0,5,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205091564542306,002027.SZ,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205091564543634,603986.SH,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205101564696978,300750.SZ,2022-05-31,2022-09-30,5,0,4,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205101564750705,000002.SZ,2022-05-31,2022-08-31,4,0,3,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205101564756979,601933.SH,2022-05-31,2022-05-31,1,0,0,False,NO_VIEW_REPORT_EPS_PE_REFERENCE_INCONSISTENT
AP202205101564759535,000786.SZ,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205131565334164,002624.SZ,2022-05-31,2022-05-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205131565334165,603338.SH,2022-05-31,2022-05-31,1,0,0,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205131565334167,600585.SH,2022-05-31,2022-07-29,3,0,2,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
AP202205131565338962,600104.SH,2022-05-31,2022-06-30,2,0,1,True,PASS_DISPLAYED_EPS_PE_AND_REFERENCE_COMMON_RANGE
