model,reused_control,name,main_base_net_sharpe,main_base_annualized_return,main_base_max_drawdown,main_base_trade_count,main_stress_net_sharpe,main_stress_annualized_return,main_stress_max_drawdown,main_stress_trade_count,earlier_base_net_sharpe,earlier_base_annualized_return,earlier_base_max_drawdown,earlier_base_trade_count,earlier_stress_net_sharpe,earlier_stress_annualized_return,earlier_stress_max_drawdown,earlier_stress_trade_count,minimum_joint_ratio
ADD_GATE_BAND20_LOWER01,True,原205仅强势加仓,1.2447517800557875,0.10376921452623912,-0.0668392919976615,112,1.186176033349953,0.09835721212233485,-0.07157601868591294,112,1.2410397343360873,0.1046516905837539,-0.05683295345232181,60,1.2309971899616972,0.10442494039980141,-0.057955548527298784,61,0.9835721212233485
ADD_GATE_EXPOSURE_105,True,原206目标1.05倍,1.2343113249012492,0.11099467506634585,-0.06842017502465514,110,1.1785689629556637,0.10547886375087225,-0.07178168427742,110,1.2253899256949647,0.10670988576088394,-0.05962697985674714,61,1.2397732998219992,0.10844569650605895,-0.06063661250465242,61,0.9821408024630531
ABLATE_100_NO_EPISODE,False,目标1.00倍、去掉区间固定预算,1.2447631985070924,0.10474356397192786,-0.06944760572536346,113,1.180921772488593,0.09775376689905191,-0.07148904006380079,113,1.266237162247818,0.11005681584398049,-0.05554378545922923,61,1.2670404741535914,0.11111316171524037,-0.05689480699286196,62,0.9775376689905191
INTENT_MIX_BAND_00,True,原201零门槛合并,1.2405013820119346,0.10459650105918336,-0.07884983281915131,225,1.172798601324537,0.09821599593680244,-0.08416974266692658,218,1.184006405706422,0.10795886065051478,-0.07453120352772385,146,1.1873958854117022,0.10913348474467692,-0.07593492827342192,134,0.9773321677704476
ABLATE_105_NO_EPISODE,False,目标1.05倍、去掉区间固定预算,1.224229918498197,0.10480313609216664,-0.06950148358188228,111,1.1648812699366422,0.09915562084924842,-0.07174063677034401,111,1.2567844751583401,0.11270801289385729,-0.058262231534339584,61,1.2717584622007785,0.11462610161721834,-0.05972441183716781,61,0.9707343916138685
TWO_CLOSE_ZERO_EXIT,True,原198两次归零确认,1.230423970532244,0.1059963743703196,-0.07808473542008036,113,1.161128163111062,0.09931285910499427,-0.08340941783287366,113,1.1826547969585695,0.1120663874925603,-0.07891815727851231,63,1.1867365818784206,0.11331503886373448,-0.08040760814108888,64,0.9676068025925516
INTENT_MIX_BAND_20,True,原201二十个百分点合并,1.2229258968591001,0.10509389170277143,-0.07687237572528892,126,1.1575507211468796,0.09881791846932465,-0.08185429812595871,126,1.2509558955726625,0.11287597421364255,-0.07199836073389465,62,1.2401417226982454,0.11258122626833865,-0.07333276463041725,63,0.964625600955733
ABLATE_100_CORE_ONLY,False,目标1.00倍、只保留两次零确认核心,1.1869849479321832,0.10767046078445344,-0.07629570561743242,77,1.1366060576924806,0.0951125528346455,-0.08114827465351808,78,1.2982261860731377,0.11274162784376153,-0.05418939835773252,45,1.3001424718516215,0.11388300202002254,-0.05546502009530205,46,0.9471717147437339
ABLATE_105_NO_REBOUND,False,目标1.05倍、去掉反弹辅助,1.188883404927611,0.10788729798617713,-0.07739620687648915,75,1.1343281258249003,0.10243304197209908,-0.08249729783989504,75,1.2632915360076666,0.10961132561799754,-0.057191115002088434,45,1.27763822559296,0.11136982387905464,-0.05834709175571914,45,0.9452734381874169
ABLATE_100_NO_REBOUND,False,目标1.00倍、去掉反弹辅助,1.1845995106728084,0.10561405682490323,-0.07676722244879516,75,1.1309417541077365,0.10033191678060648,-0.08174506817468509,75,1.2789250332030115,0.10741894067870598,-0.05457382327853226,44,1.2682614915446497,0.10718741389063434,-0.05566893405866556,45,0.9424514617564471
ABLATE_105_CORE_ONLY,False,目标1.05倍、只保留两次零确认核心,1.1681081050746678,0.1067308632715293,-0.07693997242536725,74,1.1134522071139297,0.10122744095459994,-0.08187123953899732,74,1.2894611054948641,0.11551240033719982,-0.05686604888282574,45,1.3052677084467788,0.11751440851012623,-0.0582175472153678,45,0.9278768392616081
