fit_index,fit_origin,status,failure,source_input_identity,first_attempt_fit_index,parameter_first_fit_index,reused_previous_input,fixed_prediction_identity,pava_solves,constant_curves,total_saved_knots
1139,2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,
1157,2017-03-01,FIT_COMPLETE,,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,1157.0,1157.0,False,1d8f6fcead44d7df8903162864608e4c7f63f08d93e52645b3631695e4c8bbea,7.0,1.0,105.0
1180,2017-04-05,FIT_COMPLETE,,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,1157.0,1157.0,True,1d8f6fcead44d7df8903162864608e4c7f63f08d93e52645b3631695e4c8bbea,7.0,1.0,105.0
1198,2017-05-02,FIT_COMPLETE,,2752467b3e213bad4bb57067e6f1b7394fb0d0b599f378efed7d29919832be2e,1157.0,1157.0,True,1d8f6fcead44d7df8903162864608e4c7f63f08d93e52645b3631695e4c8bbea,7.0,1.0,105.0
1218,2017-06-01,FIT_COMPLETE,,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,1218.0,1218.0,False,04d966040c98e0a0e9081987bc43e80f029244dd63d4af1115843a17ddc495cd,7.0,1.0,115.0
1240,2017-07-03,FIT_COMPLETE,,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,1218.0,1218.0,True,04d966040c98e0a0e9081987bc43e80f029244dd63d4af1115843a17ddc495cd,7.0,1.0,115.0
1261,2017-08-01,FIT_COMPLETE,,fbcca519197c7b326baa14fc1080d07816a58f3f0b85313dda7ada91ffd4a582,1218.0,1218.0,True,04d966040c98e0a0e9081987bc43e80f029244dd63d4af1115843a17ddc495cd,7.0,1.0,115.0
1284,2017-09-01,FIT_COMPLETE,,06f6f6f27301d209875db4912a319c482f9a807a2341fdb2918592a77b7a9968,1284.0,1284.0,False,864a5e5959659cfe896b39ab5403469e0f65dbd437448dee68c6b7b7eafc06ab,7.0,1.0,117.0
1305,2017-10-09,FIT_COMPLETE,,06f6f6f27301d209875db4912a319c482f9a807a2341fdb2918592a77b7a9968,1284.0,1284.0,True,864a5e5959659cfe896b39ab5403469e0f65dbd437448dee68c6b7b7eafc06ab,7.0,1.0,117.0
1322,2017-11-01,FIT_COMPLETE,,06f6f6f27301d209875db4912a319c482f9a807a2341fdb2918592a77b7a9968,1284.0,1284.0,True,864a5e5959659cfe896b39ab5403469e0f65dbd437448dee68c6b7b7eafc06ab,7.0,1.0,117.0
1344,2017-12-01,FIT_COMPLETE,,5b1d2f6aeeb86b5b191c1293866b3fa9a56e6cb58a402775445ed88557670ea3,1344.0,1344.0,False,2f3404efec1a6ed6b19cf988edfc54309d94d24a416b3bc5026c588968688a34,7.0,1.0,122.0
1365,2018-01-02,FIT_COMPLETE,,5b1d2f6aeeb86b5b191c1293866b3fa9a56e6cb58a402775445ed88557670ea3,1344.0,1344.0,True,2f3404efec1a6ed6b19cf988edfc54309d94d24a416b3bc5026c588968688a34,7.0,1.0,122.0
1387,2018-02-01,FIT_COMPLETE,,5b1d2f6aeeb86b5b191c1293866b3fa9a56e6cb58a402775445ed88557670ea3,1344.0,1344.0,True,2f3404efec1a6ed6b19cf988edfc54309d94d24a416b3bc5026c588968688a34,7.0,1.0,122.0
1402,2018-03-01,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,False,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1424,2018-04-02,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1442,2018-05-02,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1464,2018-06-01,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1484,2018-07-02,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1506,2018-08-01,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1529,2018-09-03,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1548,2018-10-08,FIT_COMPLETE,,f8d0d2e52f81f19e127cf30196d2767f2fc4d6abf4d589230c4aabb0c66f6696,1402.0,1402.0,True,c3f24edd166209bcdc70021e056b1116b563c54808890ce7c8d1187e707fda2b,7.0,1.0,121.0
1566,2018-11-01,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,False,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1588,2018-12-03,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,True,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1608,2019-01-02,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,True,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1630,2019-02-01,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,True,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1645,2019-03-01,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,True,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1666,2019-04-01,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,True,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1687,2019-05-06,FIT_COMPLETE,,16be969d53f5685453e8073a0847e9ec8f9c670affc004a942b7e7f893d6cbb3,1566.0,1566.0,True,236a91c4ac552b9d913875105a4e4d793baa7f30b50f524daf3650f37c3a4c2f,7.0,1.0,110.0
1707,2019-06-03,FIT_COMPLETE,,e997051b033a7db24ed3220fd541972a06aba57bf7fc53188694c83f33beae58,1707.0,1707.0,False,4cba34251c429df171ec76ebfdef0666cc21c8a6f975921d55e8e112a81b8068,7.0,1.0,120.0
1726,2019-07-01,FIT_COMPLETE,,e997051b033a7db24ed3220fd541972a06aba57bf7fc53188694c83f33beae58,1707.0,1707.0,True,4cba34251c429df171ec76ebfdef0666cc21c8a6f975921d55e8e112a81b8068,7.0,1.0,120.0
1749,2019-08-01,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,False,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1771,2019-09-02,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1791,2019-10-08,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1809,2019-11-01,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1830,2019-12-02,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1852,2020-01-02,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1868,2020-02-03,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1888,2020-03-02,FIT_COMPLETE,,0ca8613b4a3d4b54b6389f0feb511c11beeca497367c0f05d4de8aa0c7326de2,1749.0,1749.0,True,da85c894b455ca08797c40555ece04e4d8ce671f6b0f6dc961dad437c0868b68,7.0,1.0,137.0
1910,2020-04-01,FIT_COMPLETE,,11a28435f8dd658765e303b8065e49bd5bd915e572d0ff6ad6a6c1c4a793a60c,1910.0,1910.0,False,63f8bdb2cc1cd586e0ebca92306f11fe6b7141372637717464224c2d675300a7,7.0,1.0,130.0
1931,2020-05-06,FIT_COMPLETE,,11a28435f8dd658765e303b8065e49bd5bd915e572d0ff6ad6a6c1c4a793a60c,1910.0,1910.0,True,63f8bdb2cc1cd586e0ebca92306f11fe6b7141372637717464224c2d675300a7,7.0,1.0,130.0
1949,2020-06-01,FIT_COMPLETE,,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949.0,1949.0,False,f7cbd70bcf2a674d6e85a073790b22adc2cfb6cd74409fc87bb220bfd739b561,7.0,1.0,133.0
1969,2020-07-01,FIT_COMPLETE,,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949.0,1949.0,True,f7cbd70bcf2a674d6e85a073790b22adc2cfb6cd74409fc87bb220bfd739b561,7.0,1.0,133.0
1992,2020-08-03,FIT_COMPLETE,,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949.0,1949.0,True,f7cbd70bcf2a674d6e85a073790b22adc2cfb6cd74409fc87bb220bfd739b561,7.0,1.0,133.0
2013,2020-09-01,FIT_COMPLETE,,a1d7e57c1bf58ce38d1805ab42a13f19e4d4e72de99d4e2afa7b7ebc15b244de,1949.0,1949.0,True,f7cbd70bcf2a674d6e85a073790b22adc2cfb6cd74409fc87bb220bfd739b561,7.0,1.0,133.0
2035,2020-10-09,FIT_COMPLETE,,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035.0,2035.0,False,63ff28114c5e20ca1f6191cf812af3bb71be2463d74952137280a5c01189d0e1,7.0,1.0,134.0
2051,2020-11-02,FIT_COMPLETE,,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035.0,2035.0,True,63ff28114c5e20ca1f6191cf812af3bb71be2463d74952137280a5c01189d0e1,7.0,1.0,134.0
2072,2020-12-01,FIT_COMPLETE,,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035.0,2035.0,True,63ff28114c5e20ca1f6191cf812af3bb71be2463d74952137280a5c01189d0e1,7.0,1.0,134.0
2095,2021-01-04,FIT_COMPLETE,,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035.0,2035.0,True,63ff28114c5e20ca1f6191cf812af3bb71be2463d74952137280a5c01189d0e1,7.0,1.0,134.0
2115,2021-02-01,FIT_COMPLETE,,43ca6ecd8c0151f79c28915992efbf664b6b8591394aa0009f0801efc9adbb7b,2035.0,2035.0,True,63ff28114c5e20ca1f6191cf812af3bb71be2463d74952137280a5c01189d0e1,7.0,1.0,134.0
2130,2021-03-01,FIT_COMPLETE,,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130.0,2130.0,False,b53d5683197b114b85e7a32a3fcc53c0a50e99cb752a53d2d836adfb972404ce,7.0,1.0,132.0
2153,2021-04-01,FIT_COMPLETE,,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130.0,2130.0,True,b53d5683197b114b85e7a32a3fcc53c0a50e99cb752a53d2d836adfb972404ce,7.0,1.0,132.0
2174,2021-05-06,FIT_COMPLETE,,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130.0,2130.0,True,b53d5683197b114b85e7a32a3fcc53c0a50e99cb752a53d2d836adfb972404ce,7.0,1.0,132.0
2192,2021-06-01,FIT_COMPLETE,,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130.0,2130.0,True,b53d5683197b114b85e7a32a3fcc53c0a50e99cb752a53d2d836adfb972404ce,7.0,1.0,132.0
2213,2021-07-01,FIT_COMPLETE,,0eb4ffa05c61c66bba0b24a743d70eb6c9f509dd394049aace88a2fbbac6ecec,2130.0,2130.0,True,b53d5683197b114b85e7a32a3fcc53c0a50e99cb752a53d2d836adfb972404ce,7.0,1.0,132.0
2235,2021-08-02,FIT_COMPLETE,,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235.0,2235.0,False,1e14629dd627193ac2a50927de572f1a1bea0bdeaf3ba04a86ebd309b5144504,7.0,1.0,119.0
2257,2021-09-01,FIT_COMPLETE,,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235.0,2235.0,True,1e14629dd627193ac2a50927de572f1a1bea0bdeaf3ba04a86ebd309b5144504,7.0,1.0,119.0
2277,2021-10-08,FIT_COMPLETE,,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235.0,2235.0,True,1e14629dd627193ac2a50927de572f1a1bea0bdeaf3ba04a86ebd309b5144504,7.0,1.0,119.0
2293,2021-11-01,FIT_COMPLETE,,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235.0,2235.0,True,1e14629dd627193ac2a50927de572f1a1bea0bdeaf3ba04a86ebd309b5144504,7.0,1.0,119.0
2315,2021-12-01,FIT_COMPLETE,,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235.0,2235.0,True,1e14629dd627193ac2a50927de572f1a1bea0bdeaf3ba04a86ebd309b5144504,7.0,1.0,119.0
2338,2022-01-04,FIT_COMPLETE,,29d8c899f81e4d20b6b13a556d87bd993f887c17b2188128c40c0c4e62268c9e,2235.0,2235.0,True,1e14629dd627193ac2a50927de572f1a1bea0bdeaf3ba04a86ebd309b5144504,7.0,1.0,119.0
2357,2022-02-07,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,False,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2373,2022-03-01,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,True,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2396,2022-04-01,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,True,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2415,2022-05-05,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,True,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2434,2022-06-01,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,True,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2455,2022-07-01,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,True,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2476,2022-08-01,FIT_COMPLETE,,840abf90fe3ff1db2ea4d15e7a6ab7c007ec95115f327f042a58529fb5624c20,2357.0,2357.0,True,347784a3583bca56689f5e399d3bfdcbd4ec311ca2e7f8db8bf51dc8677840d8,7.0,1.0,115.0
2499,2022-09-01,FIT_COMPLETE,,1cf899d5426ee662242c85dced789c95b7e30c839b49d094c60d88f226959cb2,2499.0,2499.0,False,2bde65e75808f84569d77d342425aabb4b1750b0348dbb350b7a9a8dd5d43281,7.0,1.0,166.0
2520,2022-10-10,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,False,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2536,2022-11-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2558,2022-12-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2580,2023-01-03,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2596,2023-02-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2616,2023-03-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2639,2023-04-03,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2658,2023-05-04,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2678,2023-06-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2698,2023-07-03,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2719,2023-08-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2742,2023-09-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2762,2023-10-09,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2779,2023-11-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2801,2023-12-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2822,2024-01-02,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2844,2024-02-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2859,2024-03-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2880,2024-04-01,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2900,2024-05-06,FIT_COMPLETE,,04b8921e132376ba9a1130a4546c251adae6ea73102d27a63cdd25436fa97fe6,2520.0,2520.0,True,8226dac2d40f5b7ed4f5ef6d686edb88444d406f8cb931e30ab49b69be4a72f7,7.0,1.0,143.0
2920,2024-06-03,FIT_COMPLETE,,9e7a71ca71166641e18ae792f12359a1c2112cd470d8b1dd13dafd20240beeff,2920.0,2920.0,False,c4599240f112732c963a3421a7501f8db73bbf62e2325dd1909576974ba7ba05,7.0,1.0,127.0
2939,2024-07-01,FIT_COMPLETE,,9e7a71ca71166641e18ae792f12359a1c2112cd470d8b1dd13dafd20240beeff,2920.0,2920.0,True,c4599240f112732c963a3421a7501f8db73bbf62e2325dd1909576974ba7ba05,7.0,1.0,127.0
2962,2024-08-01,FIT_COMPLETE,,333bb954896275cebd115cddc65ed17e8c514ea7b7d12a114d2d5544d4384244,2962.0,2962.0,False,93dbe5a75466c15112ef6a722f9da17bf0ff6eb9b5deed906ab1179378db3cbf,7.0,1.0,134.0
2984,2024-09-02,FIT_COMPLETE,,333bb954896275cebd115cddc65ed17e8c514ea7b7d12a114d2d5544d4384244,2962.0,2962.0,True,93dbe5a75466c15112ef6a722f9da17bf0ff6eb9b5deed906ab1179378db3cbf,7.0,1.0,134.0
3003,2024-10-08,FIT_COMPLETE,,5f3cff8b771304d6127a84505b35660807cdfc1b34d430565d38eda04f4ac19a,3003.0,3003.0,False,4a61c84192d779a41d2d9288c7ec9cea794dea5e8aec91d3895c82ec9895068f,7.0,1.0,116.0
