date,MATCHED_N_50,MATCHED_N_60,MATCHED_N_70,STD_FIXED_60_50,STD_FIXED_60_60,STD_FIXED_60_70
2012-05-28,,,,,,
2012-05-29,,,,,,
2012-05-30,,,,,,
2012-05-31,,,,,,
2012-06-01,,,,,,
2012-06-04,,,,,,
2012-06-05,,,,,,
2012-06-06,,,,,,
2012-06-07,,,,,,
2012-06-08,,,,,,
2012-06-11,,,,,,
2012-06-12,,,,,,
2012-06-13,,,,,,
2012-06-14,,,,,,
2012-06-15,,,,,,
2012-06-18,,,,,,
2012-06-19,,,,,,
2012-06-20,,,,,,
2012-06-21,,,,,,
2012-06-25,,,,,,
2012-06-26,,,,,,
2012-06-27,,,,,,
2012-06-28,,,,,,
2012-06-29,,,,,,
2012-07-02,,,,,,
2012-07-03,,,,,,
2012-07-04,,,,,,
2012-07-05,,,,,,
2012-07-06,,,,,,
2012-07-09,,,,,,
2012-07-10,,,,,,
2012-07-11,,,,,,
2012-07-12,,,,,,
2012-07-13,,,,,,
2012-07-16,,,,,,
2012-07-17,,,,,,
2012-07-18,,,,,,
2012-07-19,,,,,,
2012-07-20,,,,,,
2012-07-23,,,,,,
2012-07-24,,,,,,
2012-07-25,,,,,,
2012-07-26,,,,,,
2012-07-27,,,,,,
2012-07-30,,,,,,
2012-07-31,,,,,,
2012-08-01,,,,,,
2012-08-02,,,,,,
2012-08-03,,,,,,
2012-08-06,,,,,,
2012-08-07,-0.5817591639941356,,,,,
2012-08-08,-0.9414507590869471,,,,,
2012-08-09,-0.7477067015628865,,,,,
2012-08-10,-0.9932979488478386,,,,,
2012-08-13,-1.2104371314527178,,,,,
2012-08-14,-1.1612545290352996,,,,,
2012-08-15,-1.2116305592948688,,,,,
2012-08-16,-1.235553036081222,,,,,
2012-08-17,-1.0092090740616524,,,,,
2012-08-20,-0.601884796519253,,,,,
2012-08-21,-0.6180110620831484,-0.7854191913948757,,-0.5786069388119436,-0.7854191913948757,
2012-08-22,-0.8632957035729011,-1.2289000566289219,,-0.8405013089824699,-1.2289000566289219,
2012-08-23,-0.9525821784629495,-1.1970492354727247,,-0.9217144711117798,-1.1970492354727247,
2012-08-24,-0.9850583593827854,-1.4005234715701191,,-0.9673879303942695,-1.4005234715701191,
