model,fit_origin,train_rows,first_train_origin,last_train_origin,last_label_exit,last_prediction_origin,random_seed,train_array_sha256
M_RIDGE_H5_EXPANDING,2014-12-31,375,2013-06-14,2014-12-23,2014-12-31,2014-12-31,40402137,f0caca383631e68bf8dbb7932247687685604326af8b583522d2723794294ce2
M_RIDGE_H5_EXPANDING,2015-01-05,376,2013-06-14,2014-12-24,2015-01-05,2015-03-31,40411011,ee45dea144222c3c745a7eb7f802819acb83f88d4d978f81c58486b80bb36467
M_RIDGE_H5_EXPANDING,2015-04-01,433,2013-06-14,2015-03-24,2015-04-01,2015-06-30,40411307,25d4cf79f88942e7ed968fed742be783f64ba4709f64058bb01775dfb691620d
M_RIDGE_H5_EXPANDING,2015-07-01,495,2013-06-14,2015-06-23,2015-07-01,2015-09-30,40411607,6e7b2ae7e9a23a32ef89a6100e8c9ca53c1962d9b3297fe4f1669774a0b29c5e
M_RIDGE_H5_EXPANDING,2015-10-08,559,2013-06-14,2015-09-23,2015-10-08,2015-12-31,40411914,94934e3f992029edf5a8c06ba0cfabbd0920eb71790e9513863d7a9c90039b65
M_RIDGE_H5_EXPANDING,2016-01-04,620,2013-06-14,2015-12-24,2016-01-04,2016-03-31,40421010,e7d351ebe6d638d4425a2c41a53c67c5c2de058ea5df37c6baae900584d7c2ff
M_RIDGE_H5_EXPANDING,2016-04-01,679,2013-06-14,2016-03-24,2016-04-01,2016-06-30,40421307,ce23ff57cfae4059e23d26c176b4d51ba7e66f65f743117b8d940ec687ee7995
M_RIDGE_H5_EXPANDING,2016-07-01,740,2013-06-14,2016-06-23,2016-07-01,2016-09-30,40421607,1980d2e0702760214a261c6e8bf636aa13197c5fbe81356f77cc54ec7bbd622b
M_RIDGE_H5_EXPANDING,2016-10-10,804,2013-06-14,2016-09-23,2016-10-10,2016-12-30,40421916,c81ba0eeadd8b1ea5751c3a5e299288877dbb869de02aef0de00f15894b16065
M_RIDGE_H5_EXPANDING,2017-01-03,864,2013-06-14,2016-12-23,2017-01-03,2017-03-31,40431009,587437664ceaf99eff40b1714926535c7f5a20b30ca18da313cd2131f3cf719f
M_RIDGE_H5_EXPANDING,2017-04-05,923,2013-06-14,2017-03-24,2017-04-05,2017-06-30,40431311,86a61953626dfa32d6a9ee5f8daf56467c5561e3b35a63a243e3d8e23ef88ac9
M_RIDGE_H5_EXPANDING,2017-07-03,983,2013-06-14,2017-06-23,2017-07-03,2017-09-29,40431609,93c6509db5a52ab21984eeebe71080c97c50de6b052ef25c2901edd22533bd35
M_RIDGE_H5_EXPANDING,2017-10-09,1048,2013-06-14,2017-09-22,2017-10-09,2017-12-29,40431915,3f2e86acfae215f5789f5faf5fde9beae6fe1f80fe9315743c26bc7f67bd1c61
M_RIDGE_H5_EXPANDING,2018-01-02,1108,2013-06-14,2017-12-22,2018-01-02,2018-03-30,40441008,85b239c982a60c47637154a424292417ab0055a0e6602ae05c97a1406a5e6986
M_RIDGE_H5_EXPANDING,2018-04-02,1167,2013-06-14,2018-03-23,2018-04-02,2018-06-29,40441308,9d7a50553cb65c649f663813b307c39a7b54a3239538156908b6cce1e0fa14f6
M_RIDGE_H5_EXPANDING,2018-07-02,1227,2013-06-14,2018-06-22,2018-07-02,2018-09-28,40441608,09fb0918dccb6fea8aa36835910f0ac1b093cc829295f6d6b0fdf176a9209f73
M_RIDGE_H5_EXPANDING,2018-10-08,1291,2013-06-14,2018-09-20,2018-10-08,2018-12-28,40441914,6a84ab490786eecb34e9a563a1d67422b224d7d1ca96e8a8f19a2fd30cd9bae3
M_RIDGE_H5_EXPANDING,2019-01-02,1351,2013-06-14,2018-12-21,2019-01-02,2019-03-29,40451008,c6f0a572d67faaf417aef29619049a76d4643e847fa0147c9f325149f0e53e27
M_RIDGE_H5_EXPANDING,2019-04-01,1409,2013-06-14,2019-03-22,2019-04-01,2019-06-28,40451307,ff8fd7ccd1048c84b9bd38b1041c7ef320d1cc6b5158d4c8970651ed06381dc3
M_RIDGE_H5_EXPANDING,2019-07-01,1469,2013-06-14,2019-06-21,2019-07-01,2019-09-30,40451607,beaeabafc28a1b7593d704fd5f5dab8a1a783f862cc1a05a63f23cddac908cd3
M_RIDGE_H5_EXPANDING,2019-10-08,1534,2013-06-14,2019-09-23,2019-10-08,2019-12-31,40451914,4ad9f10fd661e2528963d67e71b0ec236da3af864b213a5f4350d5ae163aad3d
M_RIDGE_H5_EXPANDING,2020-01-02,1595,2013-06-14,2019-12-24,2020-01-02,2020-03-31,40461008,25094f059ad691e5564b1d096ab89355d33f9b73b414b1c70fef0b875f7e664b
M_RIDGE_H5_EXPANDING,2020-04-01,1653,2013-06-14,2020-03-24,2020-04-01,2020-06-30,40461307,459afd01c4a5ab0ac83102fdf8666f96e457bd48448bcfd33ee20ddddcfcc28e
M_RIDGE_H5_EXPANDING,2020-07-01,1712,2013-06-14,2020-06-19,2020-07-01,2020-09-30,40461607,f4dc7b249b874425ccc30d6ef624457adc4005ca75d979daf3af4fd4489576db
M_RIDGE_H5_EXPANDING,2020-10-09,1778,2013-06-14,2020-09-23,2020-10-09,2020-12-31,40461915,f928f5e1fa000e5c8470f9915ab38af4449c37b355dddff9cd41dfdc90b1f7eb
M_RIDGE_H5_EXPANDING,2021-01-04,1838,2013-06-14,2020-12-24,2021-01-04,2021-03-31,40471010,adee7d0d57d211b8eb1260d412b6a9af716dc337499acded55b1647fc60d1482
M_RIDGE_H5_EXPANDING,2021-04-01,1896,2013-06-14,2021-03-24,2021-04-01,2021-06-30,40471307,fd6cc96dbb2d074e7439c837e2629c9eaa8cddd546195bc9f19d910abb079747
M_RIDGE_H5_EXPANDING,2021-07-01,1956,2013-06-14,2021-06-23,2021-07-01,2021-09-30,40471607,43a453670b962d7e86be8b02c684722dec1117d357ab32de16546cd78bc75835
M_RIDGE_H5_EXPANDING,2021-10-08,2020,2013-06-14,2021-09-23,2021-10-08,2021-12-31,40471914,1bb2e2a867fad406ee2c7b880aeeb5dc2480b372e917bf6992775025b5a86ee5
M_RIDGE_H5_EXPANDING,2022-01-04,2081,2013-06-14,2021-12-24,2022-01-04,2022-03-31,40481010,626b0ebedd6051947db31dc56baa62fe54c4daaaa7542fe9763bd5ee7423220c
M_RIDGE_H5_EXPANDING,2022-04-01,2139,2013-06-14,2022-03-24,2022-04-01,2022-06-30,40481307,07d7e40ec0e19872fa742479c74e1dc48019b4167bb8ccd6fae9481f55fe1c7a
M_RIDGE_H5_EXPANDING,2022-07-01,2198,2013-06-14,2022-06-23,2022-07-01,2022-09-30,40481607,38788220201ad76d0be6461a5552c18b209b81016f2644097deae011bacaebea
M_RIDGE_H5_EXPANDING,2022-10-10,2263,2013-06-14,2022-09-23,2022-10-10,2022-12-30,40481916,be4d77e03d29affc826d1913fb99fe64348c6332d3b3c017e6c85f10e54d0ee4
M_RIDGE_H5_EXPANDING,2023-01-03,2323,2013-06-14,2022-12-23,2023-01-03,2023-03-31,40491009,e05854210069a71eb740221c7edfde329eec01798d4b7e2e42547129f036ebec
M_RIDGE_H5_EXPANDING,2023-04-03,2382,2013-06-14,2023-03-24,2023-04-03,2023-06-30,40491309,b9990334cbf181eeaac94e14784fdd92b53d2cb3871299ea1fbeba69de938eac
M_RIDGE_H5_EXPANDING,2023-07-03,2441,2013-06-14,2023-06-21,2023-07-03,2023-09-28,40491609,29ec5349397a7234007c1cf7ad8db9158543514f37dd27b3b6aa383b10736075
M_RIDGE_H5_EXPANDING,2023-10-09,2505,2013-06-14,2023-09-21,2023-10-09,2023-12-29,40491915,561c82da071ade251f9ac4a17f682d5ecef9ed3eafca581046238efda67dd063
M_RIDGE_H5_EXPANDING,2024-01-02,2565,2013-06-14,2023-12-22,2024-01-02,2024-03-29,40501008,0bf3feab2d352934e4afe995d19f9baa035faf35ed5640fcbfa272b549247c46
M_RIDGE_H5_EXPANDING,2024-04-01,2623,2013-06-14,2024-03-22,2024-04-01,2024-06-28,40501307,0b45d1663b2b9dd0ef69db3acc6301811c3f08dd70b811c96a5f6d42321ceacc
M_RIDGE_H5_EXPANDING,2024-07-01,2682,2013-06-14,2024-06-21,2024-07-01,2024-09-30,40501607,4fbba0691926126803ae1e05f12cb4bf073a2e0955e3536e4dee81302e0aa997
M_RIDGE_H5_EXPANDING,2024-10-08,2746,2013-06-14,2024-09-23,2024-10-08,2024-12-31,40501914,bea4948858f0cb5a3618035b1e793f820fdf4415f953ce6d74d826b05a2db621
M_RIDGE_H5_EXPANDING,2025-01-02,2807,2013-06-14,2024-12-24,2025-01-02,2025-03-31,40511008,62287d533c5fe6987ca88aa68151da798f016213590cc17de70e7f0f26121e76
M_RIDGE_H5_EXPANDING,2025-04-01,2864,2013-06-14,2025-03-24,2025-04-01,2025-06-30,40511307,f1c390f09df74a6eb97a05b297d9094a6156a6dcae3add270a2a8927c2a7c88a
M_RIDGE_H5_EXPANDING,2025-07-01,2924,2013-06-14,2025-06-23,2025-07-01,2025-09-30,40511607,ce5482b517a1782ffd66c672717b5d12b5a269b2411e02d471224226aebd31ea
M_RIDGE_H5_EXPANDING,2025-10-09,2990,2013-06-14,2025-09-23,2025-10-09,2025-12-31,40511915,5e7459afe0a122550475579b37f165c528e5451ed4f5d1cb8c6a842101d09dd2
M_RIDGE_H5_EXPANDING,2026-01-05,3050,2013-06-14,2025-12-24,2026-01-05,2026-03-31,40521011,f761c8b0c27ba64945e07b9b971a01d40ad9965f585936a46b4e5d0971e6ff17
M_RIDGE_H5_EXPANDING,2026-04-01,3106,2013-06-14,2026-03-24,2026-04-01,2026-06-30,40521307,1c4b9a845502fbdb0e21e1445b53cebe30ca6e6709d61962b7dd3c2b72f5acea
M_RIDGE_H5_EXPANDING,2026-07-01,3166,2013-06-14,2026-06-23,2026-07-01,2026-08-13,40521607,077a211f763e06c9cbae70bbbdf22dbc7c983a2aa88804f4c7556713112f2c5e
M_RIDGE_H5_ROLL756,2014-12-31,375,2013-06-14,2014-12-23,2014-12-31,2014-12-31,40402137,f0caca383631e68bf8dbb7932247687685604326af8b583522d2723794294ce2
M_RIDGE_H5_ROLL756,2015-01-05,376,2013-06-14,2014-12-24,2015-01-05,2015-03-31,40411011,ee45dea144222c3c745a7eb7f802819acb83f88d4d978f81c58486b80bb36467
M_RIDGE_H5_ROLL756,2015-04-01,433,2013-06-14,2015-03-24,2015-04-01,2015-06-30,40411307,25d4cf79f88942e7ed968fed742be783f64ba4709f64058bb01775dfb691620d
M_RIDGE_H5_ROLL756,2015-07-01,495,2013-06-14,2015-06-23,2015-07-01,2015-09-30,40411607,6e7b2ae7e9a23a32ef89a6100e8c9ca53c1962d9b3297fe4f1669774a0b29c5e
M_RIDGE_H5_ROLL756,2015-10-08,559,2013-06-14,2015-09-23,2015-10-08,2015-12-31,40411914,94934e3f992029edf5a8c06ba0cfabbd0920eb71790e9513863d7a9c90039b65
M_RIDGE_H5_ROLL756,2016-01-04,620,2013-06-14,2015-12-24,2016-01-04,2016-03-31,40421010,e7d351ebe6d638d4425a2c41a53c67c5c2de058ea5df37c6baae900584d7c2ff
M_RIDGE_H5_ROLL756,2016-04-01,679,2013-06-14,2016-03-24,2016-04-01,2016-06-30,40421307,ce23ff57cfae4059e23d26c176b4d51ba7e66f65f743117b8d940ec687ee7995
M_RIDGE_H5_ROLL756,2016-07-01,740,2013-06-14,2016-06-23,2016-07-01,2016-09-30,40421607,1980d2e0702760214a261c6e8bf636aa13197c5fbe81356f77cc54ec7bbd622b
M_RIDGE_H5_ROLL756,2016-10-10,751,2013-08-28,2016-09-23,2016-10-10,2016-12-30,40421916,6ff5f9fcc82681c125e973f622abf8511b958b3f0b8a9b64968de03f5ee28c26
M_RIDGE_H5_ROLL756,2017-01-03,751,2013-11-29,2016-12-23,2017-01-03,2017-03-31,40431009,5def2b9b7e7a05a6736abada9f5f3495e07077f734be7f1dabd0a04f40f2760e
M_RIDGE_H5_ROLL756,2017-04-05,751,2014-02-28,2017-03-24,2017-04-05,2017-06-30,40431311,2d34185e8c348ea9cd8ac179d79292fb69b1589a58f4f4450993ca742222ae17
M_RIDGE_H5_ROLL756,2017-07-03,751,2014-05-28,2017-06-23,2017-07-03,2017-09-29,40431609,843181e4ecbb78a51cca324d7e44bb5f88c5f7fbfecef85e2f6a254f2d36b5ff
