fit_index,fit_origin,status,failure,source_input_identity,first_attempt_fit_index,parameter_first_fit_index,reused_previous_input,fixed_prediction_identity,nonzero_factor_count,nonzero_factors,max_normal_error,zero_coefficients
1139,2017-02-03,NO_VIEW_MINIMUM_MATURE_CYCLES_OR_ROWS,,,,,False,NO_MODEL,,,,
1157,2017-03-01,FIT_COMPLETE,,9281599ae680751fe4c1caf361281be8ea16b7ee0ceefd20ae06e46fb7c5e5f8,1157.0,1157.0,False,59ca57895b04d1aba91d28b8e3df390e972971c1b8627089e11f070bb7feeb31,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",3.681950577760773e-16,False
1180,2017-04-05,FIT_COMPLETE,,9281599ae680751fe4c1caf361281be8ea16b7ee0ceefd20ae06e46fb7c5e5f8,1157.0,1157.0,True,59ca57895b04d1aba91d28b8e3df390e972971c1b8627089e11f070bb7feeb31,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",3.681950577760773e-16,False
1198,2017-05-02,FIT_COMPLETE,,9281599ae680751fe4c1caf361281be8ea16b7ee0ceefd20ae06e46fb7c5e5f8,1157.0,1157.0,True,59ca57895b04d1aba91d28b8e3df390e972971c1b8627089e11f070bb7feeb31,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",3.681950577760773e-16,False
1218,2017-06-01,FIT_COMPLETE,,5c9ac49b5fe546a71f8642b4f378e2594a5276ad1af08a7fead6f23bb41419f3,1218.0,1218.0,False,9ffbc11a8973131023498887e60764325100f8d5b0f9443e0d7e6de742c5019e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.991666802123262e-16,False
1240,2017-07-03,FIT_COMPLETE,,5c9ac49b5fe546a71f8642b4f378e2594a5276ad1af08a7fead6f23bb41419f3,1218.0,1218.0,True,9ffbc11a8973131023498887e60764325100f8d5b0f9443e0d7e6de742c5019e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.991666802123262e-16,False
1261,2017-08-01,FIT_COMPLETE,,5c9ac49b5fe546a71f8642b4f378e2594a5276ad1af08a7fead6f23bb41419f3,1218.0,1218.0,True,9ffbc11a8973131023498887e60764325100f8d5b0f9443e0d7e6de742c5019e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.991666802123262e-16,False
1284,2017-09-01,FIT_COMPLETE,,0608f712dde93070de9b07e98daf80f4bdbfd4efaf76e6f0435214c8e2b88d0c,1284.0,1284.0,False,839f3b6211f9e8c497d8656fa247c5db2cf9e4733141fbd04ae81deac706554a,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",2.909998630951094e-16,False
1305,2017-10-09,FIT_COMPLETE,,0608f712dde93070de9b07e98daf80f4bdbfd4efaf76e6f0435214c8e2b88d0c,1284.0,1284.0,True,839f3b6211f9e8c497d8656fa247c5db2cf9e4733141fbd04ae81deac706554a,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",2.909998630951094e-16,False
1322,2017-11-01,FIT_COMPLETE,,0608f712dde93070de9b07e98daf80f4bdbfd4efaf76e6f0435214c8e2b88d0c,1284.0,1284.0,True,839f3b6211f9e8c497d8656fa247c5db2cf9e4733141fbd04ae81deac706554a,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",2.909998630951094e-16,False
1344,2017-12-01,FIT_COMPLETE,,17f4862fed7358a8671b453dd09ad7ff046c5ec464e10d07ea03eadce3064838,1344.0,1344.0,False,63c82dfcb0b580c5f1923d79f230a7231aeeca3b34f178ea1f00d8f81cf5eddc,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",3.0010716134398763e-16,False
1365,2018-01-02,FIT_COMPLETE,,17f4862fed7358a8671b453dd09ad7ff046c5ec464e10d07ea03eadce3064838,1344.0,1344.0,True,63c82dfcb0b580c5f1923d79f230a7231aeeca3b34f178ea1f00d8f81cf5eddc,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",3.0010716134398763e-16,False
1387,2018-02-01,FIT_COMPLETE,,17f4862fed7358a8671b453dd09ad7ff046c5ec464e10d07ea03eadce3064838,1344.0,1344.0,True,63c82dfcb0b580c5f1923d79f230a7231aeeca3b34f178ea1f00d8f81cf5eddc,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",3.0010716134398763e-16,False
1402,2018-03-01,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,False,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1424,2018-04-02,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1442,2018-05-02,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1464,2018-06-01,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1484,2018-07-02,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1506,2018-08-01,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1529,2018-09-03,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1548,2018-10-08,FIT_COMPLETE,,db7fd1fb09f74c13921f1bdfd67128c706e78b4250b18faceffc02ea21b0118c,1402.0,1402.0,True,3b3a47061ef02c7858792d779e2539d13405fbe58df53ac048bb830022a40fd2,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",4.0419056990259605e-16,False
1566,2018-11-01,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,False,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1588,2018-12-03,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,True,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1608,2019-01-02,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,True,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1630,2019-02-01,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,True,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1645,2019-03-01,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,True,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1666,2019-04-01,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,True,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1687,2019-05-06,FIT_COMPLETE,,5a429b5c656a6caaf9bbdedf7f1f325926ae812d5774bbb48f5ffc41b102c850,1566.0,1566.0,True,ed34b3a75bbaa27566097138531709df2f1351ce8bfc76af31ecfa739b9092d6,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",5.958775139980332e-16,False
1707,2019-06-03,FIT_COMPLETE,,dfece08bd538ad22e2e30752a01d595d95572ea4813a7089c9c0c41f364d5e91,1707.0,1707.0,False,d903aabd5e93cfe72244c371f839e20b944ad2028e2b4f7b6014fb776d31d131,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.683022191200649e-16,False
1726,2019-07-01,FIT_COMPLETE,,dfece08bd538ad22e2e30752a01d595d95572ea4813a7089c9c0c41f364d5e91,1707.0,1707.0,True,d903aabd5e93cfe72244c371f839e20b944ad2028e2b4f7b6014fb776d31d131,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.683022191200649e-16,False
1749,2019-08-01,FIT_COMPLETE,,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749.0,1749.0,False,2b0c0fc7b2fe3264f24b7426e16591da286cabe2c9242a4622bf3d47fea50f9e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.054184931159057e-16,False
1771,2019-09-02,FIT_COMPLETE,,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749.0,1749.0,True,2b0c0fc7b2fe3264f24b7426e16591da286cabe2c9242a4622bf3d47fea50f9e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.054184931159057e-16,False
1791,2019-10-08,FIT_COMPLETE,,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749.0,1749.0,True,2b0c0fc7b2fe3264f24b7426e16591da286cabe2c9242a4622bf3d47fea50f9e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.054184931159057e-16,False
1809,2019-11-01,FIT_COMPLETE,,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749.0,1749.0,True,2b0c0fc7b2fe3264f24b7426e16591da286cabe2c9242a4622bf3d47fea50f9e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.054184931159057e-16,False
1830,2019-12-02,FIT_COMPLETE,,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749.0,1749.0,True,2b0c0fc7b2fe3264f24b7426e16591da286cabe2c9242a4622bf3d47fea50f9e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.054184931159057e-16,False
1852,2020-01-02,FIT_COMPLETE,,3134b600ccbaab5bc59b98b015e73287e168cd9ee83ac5a4466798dea8311657,1749.0,1749.0,True,2b0c0fc7b2fe3264f24b7426e16591da286cabe2c9242a4622bf3d47fea50f9e,20.0,"log_holding_days,cycle_return,cycle_drawdown,entry_mode,mom5,mom20,sma120,vol20,log_holding_days_times_mom5,log_holding_days_times_mom20,log_holding_days_times_sma120,log_holding_days_times_vol20,cycle_return_times_mom5,cycle_return_times_mom20,cycle_return_times_sma120,cycle_return_times_vol20,cycle_drawdown_times_mom5,cycle_drawdown_times_mom20,cycle_drawdown_times_sma120,cycle_drawdown_times_vol20",6.054184931159057e-16,False
