ts_code,stockName,infoCode,publishDate,orgCode,orgName,orgSName,title,attachPages,source_raw_path,directory_retrieved_at
000001.SZ,平安银行,AP201705190591661168,2017-03-07 00:00:00.000,80101832,交银国际证券有限公司,交银国际证券,零售金融盈利贡献度大幅提升，息差环比回升,6,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201703170415156450,2017-03-17 00:00:00.000,80000038,民生证券股份有限公司,民生证券,2017年报业绩点评：零售银行初见成效，不良加速认定,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201703200421759999,2017-03-20 00:00:00.000,80000081,东莞证券股份有限公司,东莞证券,2016年年报点评：业绩低于预期，估值水平低于同业,3,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201703220427468239,2017-03-22 00:00:00.000,80000200,中银国际证券有限责任公司,中银国际,零售业务核心策略不变,8,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201703220428373788,2017-03-22 00:00:00.000,80092743,华融证券股份有限公司,华融证券,年报点评：营收符合预期，资产质量有改善趋势,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201704240527485931,2017-04-24 00:00:00.000,10000082,国金证券股份有限公司,国金证券,息差表现低于预期；拨备计提审慎,5,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201704240528086219,2017-04-24 00:00:00.000,80000038,民生证券股份有限公司,民生证券,平安银行一季报点评：零售持续发力，息差受同业成本拖累,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201704250529086696,2017-04-25 00:00:00.000,80000081,东莞证券股份有限公司,东莞证券,2017年一季报点评：负债成本上升显著，不良率持平,3,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201704260532755926,2017-04-26 00:00:00.000,80000200,中银国际证券有限责任公司,中银国际,息差受累于银行间流动性紧缩,7,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201705180588559083,2017-05-18 00:00:00.000,80101832,交银国际证券,交银国际证券,息差环比降幅大，不良生成速度放缓,6,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708040773271384,2017-08-04 00:00:00.000,80101832,交银国际证券,交银国际证券,可转债如转股预计提升18年核心CAR约1个百分点,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708110790844991,2017-08-11 00:00:00.000,10000082,国金证券股份有限公司,国金证券,息差表现低于预期；零售业务加快发展,5,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708110791692599,2017-08-11 00:00:00.000,80044865,Deutsche Bank AG,德意志银行,Fundamental recovery takes time;Hold,11,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708110791941879,2017-08-11 00:00:00.000,80050806,太平洋证券股份有限公司,太平洋,平安银行半年报点评：不良率小幅上升；零售业务贡献度继续提升,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708110791968073,2017-08-11 00:00:00.000,80000038,民生证券股份有限公司,民生证券,平安银行2017年中报点评：零售发力盈利稳定，资产质量逐步改善,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708120795472540,2017-08-12 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,中期业绩发布会交流纪要：零售转型启航，不良处置力度加大,10,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708140798853161,2017-08-14 00:00:00.000,80000081,东莞证券股份有限公司,东莞证券,2017年中报点评：业绩表现低于预期,3,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708140798931496,2017-08-14 00:00:00.000,80000119,群益证券(香港)有限公司,群益证券,半年报点评：业绩增长平稳，资产品质整体可控,3,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201708140798987605,2017-08-14 00:00:00.000,80101832,交银国际证券,交银国际证券,零售突破，对公做精,6,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201710220971223714,2017-10-22 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,三季报点评：零售转型成效显现，资产质量好转可期,7,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
000001.SZ,平安银行,AP201710230972019764,2017-10-23 00:00:00.000,80000038,民生证券股份有限公司,民生证券,2017年三季报点评：零售贷款占比上升，资产质量稳定,4,data/raw/510300_forward_eps_history_directory_v1/000001_2017_0001.json,2026-09-06T21:19:07.776456+08:00
