ts_code,stockName,infoCode,publishDate,orgCode,orgName,orgSName,title,attachPages,source_raw_path,directory_retrieved_at
000001.SZ,平安银行,AP201903071303507274,2019-03-07 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年报业绩点评：零售转型持续推进,5,data/raw/510300_forward_eps_history_directory_v1/000001_2019_0001.json,2026-09-06T21:19:10.714285+08:00
000001.SZ,平安银行,AP202203101551739416,2022-03-10 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2021年报点评：业绩增速稳中有升，资产质量持续改善,5,data/raw/510300_forward_eps_history_directory_v1/000001_2022_0001.json,2026-09-06T21:19:13.033263+08:00
000001.SZ,平安银行,AP202204271561941015,2022-04-27 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2022年一季报点评：存款增长加快，净息差环比回升,5,data/raw/510300_forward_eps_history_directory_v1/000001_2022_0001.json,2026-09-06T21:19:13.033263+08:00
000001.SZ,平安银行,AP202208191577363997,2022-08-19 00:00:00.000,80000007,国信证券股份有限公司,国信证券,业绩增速平稳，盈利能力回升,4,data/raw/510300_forward_eps_history_directory_v1/000001_2022_0001.json,2026-09-06T21:19:13.033263+08:00
000001.SZ,平安银行,AP202210251579439624,2022-10-25 00:00:00.000,80000007,国信证券股份有限公司,国信证券,规模稳健扩张，大力支持实体,4,data/raw/510300_forward_eps_history_directory_v1/000001_2022_0001.json,2026-09-06T21:19:13.033263+08:00
000001.SZ,平安银行,AP202301171582070344,2023-01-17 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2022年业绩快报点评：负债结构优化，资产质量稳定,4,data/raw/510300_forward_eps_history_directory_v1/000001_2023_0001.json,2026-09-06T21:19:13.324027+08:00
000001.SZ,平安银行,AP202303091584148565,2023-03-09 00:00:00.000,80000007,国信证券股份有限公司,国信证券,资产规模稳健增长，积极支持实体经济,4,data/raw/510300_forward_eps_history_directory_v1/000001_2023_0001.json,2026-09-06T21:19:13.324027+08:00
000001.SZ,平安银行,AP202304251585792142,2023-04-25 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2023年一季报点评：风险抵补能力保持较好水平,4,data/raw/510300_forward_eps_history_directory_v1/000001_2023_0001.json,2026-09-06T21:19:13.324027+08:00
000001.SZ,平安银行,AP202308241595701513,2023-08-24 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2023年中报点评：息差有所回落，资产质量平稳,4,data/raw/510300_forward_eps_history_directory_v1/000001_2023_0001.json,2026-09-06T21:19:13.324027+08:00
000001.SZ,平安银行,AP202403151626825160,2024-03-15 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2023年报点评：调降信用风险偏好，经营更稳健,4,data/raw/510300_forward_eps_history_directory_v1/000001_2024_0001.json,2026-09-06T21:19:14.543126+08:00
000001.SZ,平安银行,AP202404211630895710,2024-04-21 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2024年一季报点评：息差拖累营收，加大不良处置,4,data/raw/510300_forward_eps_history_directory_v1/000001_2024_0001.json,2026-09-06T21:19:14.543126+08:00
000001.SZ,平安银行,AP202408161639304268,2024-08-16 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2024年中报点评：非息收入增长亮眼,4,data/raw/510300_forward_eps_history_directory_v1/000001_2024_0001.json,2026-09-06T21:19:14.543126+08:00
000001.SZ,平安银行,AP202410201640374148,2024-10-20 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2024年三季报点评：持续优化贷款业务结构,4,data/raw/510300_forward_eps_history_directory_v1/000001_2024_0001.json,2026-09-06T21:19:14.543126+08:00
000001.SZ,平安银行,AP202503161644416306,2025-03-16 00:00:00.000,80000007,国信证券股份有限公司,国信证券,贷款结构优化，营收降幅收窄,4,data/raw/510300_forward_eps_history_directory_v1/000001_2025_0001.json,2026-09-06T21:19:16.537763+08:00
000001.SZ,平安银行,AP202508241733444225,2025-08-24 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2025年中报点评：收入利润降幅收窄，资产质量稳定,4,data/raw/510300_forward_eps_history_directory_v1/000001_2025_0001.json,2026-09-06T21:19:16.537763+08:00
000001.SZ,平安银行,AP202510261769278155,2025-10-26 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2025年三季报点评：息差环比回升，资产质量平稳,4,data/raw/510300_forward_eps_history_directory_v1/000001_2025_0001.json,2026-09-06T21:19:16.537763+08:00
000001.SZ,平安银行,AP202603221820687530,2026-03-22 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2025年报点评：资产质量压力减轻,5,data/raw/510300_forward_eps_history_directory_v1/000001_2026_0001.json,2026-09-06T21:19:15.244368+08:00
000001.SZ,平安银行,AP202604261821586763,2026-04-26 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2025年报及2026一季报点评：收入利润增速均回正,4,data/raw/510300_forward_eps_history_directory_v1/000001_2026_0001.json,2026-09-06T21:19:15.244368+08:00
600030.SH,中信证券,AP202203291555781349,2022-03-29 00:00:00.000,80000007,国信证券股份有限公司,国信证券,营收净利双高增，综合竞争力持续领先,6,data/raw/510300_forward_eps_history_directory_v1/600030_2022_0001.json,2026-09-06T21:19:29.430963+08:00
600030.SH,中信证券,AP202204291562326328,2022-04-29 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2022年一季报点评：营收小幅下滑，龙头地位稳固,6,data/raw/510300_forward_eps_history_directory_v1/600030_2022_0001.json,2026-09-06T21:19:29.430963+08:00
600030.SH,中信证券,AP202208301577837663,2022-08-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,投行优势显著，综合服务能力领先,6,data/raw/510300_forward_eps_history_directory_v1/600030_2022_0001.json,2026-09-06T21:19:29.430963+08:00
600030.SH,中信证券,AP202303311584767403,2023-03-31 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2022年年报点评：机构业务引领行业,6,data/raw/510300_forward_eps_history_directory_v1/600030_2023_0001.json,2026-09-06T21:19:30.139492+08:00
