stockCode,stockName,infoCode,publishDate,orgCode,orgName,orgSName,title,attachPages,source_raw_path,directory_retrieved_at,ts_code
600066,宇通客车,AP201701040235600589,2017-01-04 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,重大事项点评：全年销量超预期，龙头地位保障盈利能力,3,data/raw/510300_forward_eps_soochow_directory_v1/2017_0025.json,2026-09-07T01:36:48.140242+08:00,600066.SH
600297,广汇汽车,AP201701040235600590,2017-01-04 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,广汇汽车投资价值报告：低估的经销商龙头，后市场进入快车道,14,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,600297.SH
300014,亿纬锂能,AP201701090254795642,2017-01-09 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,点评报告：签订南京金龙10亿元订单， 动力锂电再下一城,4,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,300014.SZ
600150,中国船舶,AP201701090255009612,2017-01-09 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,覆盖报告：中船集团核心民品平台，混改预期与船舶工业回暖双线推进,3,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,600150.SH
601998,中信银行,AP201701120262349337,2017-01-12 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,2016快报点评：营收增速趋缓，资产增长较快,4,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,601998.SH
300408,三环集团,AP201701130265715737,2017-01-13 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,公司点评：业绩增长复苏，多业务齐头并进,3,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,300408.SZ
601229,上海银行,AP201701160272029176,2017-01-16 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,2016年快报点评： 收入趋缓，资产稳定，估值便宜,4,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,601229.SH
002142,宁波银行,AP201701160272029177,2017-01-16 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,2016年快报点评： 快增持续，资产质量良好,4,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,002142.SZ
600297,广汇汽车,AP201701180276158228,2017-01-18 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,业绩预告点评：新兴业务高速成长，宝信整合初见成效,2,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,600297.SH
000338,潍柴动力,AP201701180276158229,2017-01-18 00:00:00.000,80000031,东吴证券股份有限公司,东吴证券,业绩预告点评：盈利弹性超预期，重卡景气可持续,2,data/raw/510300_forward_eps_soochow_directory_v1/2017_0024.json,2026-09-07T01:36:46.492647+08:00,000338.SZ
