period,risk_source_cost,origin_index,origin,window_start,window_end,sample_count,mean_reference,mean_runs,variance_reference,variance_runs,covariance,difference_variance,old_budget_reference,budget_reference,status
evaluation,BASE,2213,2021-07-01,2020-07-06,2021-07-01,242,0.00024010513592636392,0.0003125551709127504,1.186320364401358e-05,7.755443461607635e-06,1.8164966731725412e-06,1.5985653759276133e-05,0.3363244188301499,0.37151729155830426,UPDATED
evaluation,BASE,2235,2021-08-02,2020-08-05,2021-08-02,242,0.00011565267817981402,0.0003125551709127504,6.7548223478905975e-06,7.755443461607635e-06,1.8555563359391772e-06,1.0799153137619877e-05,0.37151729155830426,0.5463286843405933,UPDATED
evaluation,BASE,2257,2021-09-01,2020-09-04,2021-09-01,242,0.00018472020222452915,0.0003125551709127504,7.1976897690708545e-06,7.755443461607635e-06,1.8338793498341124e-06,1.1285374531010261e-05,0.5463286843405933,0.524711350562809,UPDATED
evaluation,BASE,2277,2021-10-08,2020-10-12,2021-10-08,242,0.0002705622342971032,0.0003125551709127504,5.415589458219968e-06,7.755443461607635e-06,1.8069376494878979e-06,9.557157620851806e-06,0.524711350562809,0.6224136974722785,UPDATED
evaluation,BASE,2293,2021-11-01,2020-11-03,2021-11-01,242,0.0002723634151690708,0.0003125551709127504,5.418858342496572e-06,7.755443461607633e-06,1.80637234512417e-06,9.561557113855864e-06,0.6224136974722785,0.6221864331974268,UPDATED
evaluation,BASE,2315,2021-12-01,2020-12-03,2021-12-01,242,0.00026748337347350505,0.0003125551709127504,5.49366155613559e-06,7.755443461607635e-06,1.8079039563624476e-06,9.63329710501833e-06,0.6221864331974268,0.6173939659918618,UPDATED
evaluation,BASE,2338,2022-01-04,2021-01-06,2022-01-04,242,0.00026965946325697656,5.592412581913806e-05,5.358250732569764e-06,3.876393907260825e-06,1.5175436777590694e-06,6.1995572843124505e-06,0.6173939659918618,0.38048688338934494,UPDATED
evaluation,BASE,2357,2022-02-07,2021-02-02,2022-02-07,242,0.00021540952366012097,0.0,4.622743090612108e-06,0.0,0.0,4.622743090612108e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2373,2022-03-01,2021-03-03,2022-03-01,242,0.00018148383800187424,0.0,4.4460337573617125e-06,0.0,0.0,4.4460337573617125e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2396,2022-04-01,2021-04-06,2022-04-01,242,0.00018148383800187424,0.0,4.4460337573617125e-06,0.0,0.0,4.4460337573617125e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2415,2022-05-05,2021-05-06,2022-05-05,242,0.00018148383800187424,0.0,4.4460337573617125e-06,0.0,0.0,4.4460337573617125e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2434,2022-06-01,2021-06-02,2022-06-01,242,0.00020095977706043034,0.0,4.5772413168225795e-06,0.0,0.0,4.5772413168225795e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2455,2022-07-01,2021-07-02,2022-07-01,242,0.00019785314213366102,0.0,4.5929820340301744e-06,0.0,0.0,4.5929820340301744e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2476,2022-08-01,2021-08-02,2022-08-01,242,0.00022758482768068814,0.0,4.358069733382606e-06,0.0,0.0,4.358069733382606e-06,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2499,2022-09-01,2021-09-02,2022-09-01,242,2.9724204485174916e-05,0.0,8.773695926780046e-07,0.0,0.0,8.773695926780046e-07,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2520,2022-10-10,2021-10-12,2022-10-10,242,2.963794680239148e-05,0.0,8.773765424113836e-07,0.0,0.0,8.773765424113836e-07,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2536,2022-11-01,2021-11-03,2022-11-01,242,3.40679302708483e-05,0.0,8.634070846248269e-07,0.0,0.0,8.634070846248269e-07,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2558,2022-12-01,2021-12-03,2022-12-01,242,3.151708037066807e-05,0.0,8.005027235327804e-07,0.0,0.0,8.005027235327804e-07,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2580,2023-01-03,2022-01-05,2023-01-03,242,2.3283500728715352e-06,0.0,7.426654346579883e-07,0.0,0.0,7.426654346579883e-07,0.38048688338934494,0.38048688338934494,DEGENERATE_RISK
evaluation,BASE,2596,2023-02-01,2022-01-27,2023-02-01,242,2.3283500728715352e-06,0.00010914328717381711,7.426654346579883e-07,1.2517711091245923e-06,-2.551782361659432e-10,1.994946900254912e-06,0.38048688338934494,0.6275988033570096,UPDATED
evaluation,BASE,2616,2023-03-01,2022-03-03,2023-03-01,242,2.3283500728715352e-06,0.00010914328717381711,7.426654346579884e-07,1.2517711091245923e-06,-2.551782361659432e-10,1.9949469002549125e-06,0.6275988033570096,0.6275988033570095,UPDATED
evaluation,BASE,2639,2023-04-03,2022-04-07,2023-04-03,242,2.3283500728715352e-06,0.00018057493255045642,7.426654346579884e-07,1.7334307113166132e-06,-4.221862285550042e-10,2.476940518431711e-06,0.6275988033570095,0.6999977935049353,UPDATED
evaluation,BASE,2658,2023-05-04,2022-05-09,2023-05-04,242,2.3283500728715352e-06,0.00016987472236273122,7.426654346579884e-07,2.242343815062869e-06,-3.971690164752561e-10,2.9858035877538075e-06,0.6999977935049353,0.7511348011228487,UPDATED
evaluation,BASE,2678,2023-06-01,2022-06-07,2023-06-01,242,-1.8106165422704745e-05,0.00016987472236273122,6.034780558450393e-07,2.242343815062869e-06,3.088542396120451e-09,2.839644786115667e-06,0.7511348011228487,0.7885687969197768,UPDATED
evaluation,BASE,2698,2023-07-03,2022-07-05,2023-07-03,242,-1.2176647752477565e-05,0.00016987472236273122,5.749740794238685e-07,2.242343815062869e-06,2.077087663133355e-09,2.81316371916047e-06,0.7885687969197768,0.7963513506666069,UPDATED
evaluation,BASE,2719,2023-08-01,2022-08-03,2023-08-01,242,-1.2176647752477565e-05,0.00016987472236273122,5.749740794238683e-07,2.242343815062869e-06,2.077087663133354e-09,2.81316371916047e-06,0.7963513506666069,0.7963513506666069,UPDATED
evaluation,BASE,2742,2023-09-01,2022-09-05,2023-09-01,242,0.0,0.00016987472236273122,0.0,2.242343815062869e-06,0.0,2.242343815062869e-06,0.7963513506666069,0.7963513506666069,DEGENERATE_RISK
evaluation,BASE,2762,2023-10-09,2022-10-11,2023-10-09,242,0.0,0.00016987472236273122,0.0,2.242343815062869e-06,0.0,2.242343815062869e-06,0.7963513506666069,0.7963513506666069,DEGENERATE_RISK
evaluation,BASE,2779,2023-11-01,2022-11-03,2023-11-01,242,0.0,0.00016987472236273122,0.0,2.242343815062869e-06,0.0,2.242343815062869e-06,0.7963513506666069,0.7963513506666069,DEGENERATE_RISK
evaluation,BASE,2801,2023-12-01,2022-12-05,2023-12-01,242,0.0,0.00016987472236273122,0.0,2.242343815062869e-06,0.0,2.242343815062869e-06,0.7963513506666069,0.7963513506666069,DEGENERATE_RISK
evaluation,BASE,2822,2024-01-02,2023-01-04,2024-01-02,242,0.0,0.00016987472236273122,0.0,2.242343815062869e-06,0.0,2.242343815062869e-06,0.7963513506666069,0.7963513506666069,DEGENERATE_RISK
evaluation,BASE,2844,2024-02-01,2023-02-10,2024-02-01,242,0.0,6.0731435188914106e-05,0.0,1.0038845705860362e-06,0.0,1.0038845705860362e-06,0.7963513506666069,0.7963513506666069,DEGENERATE_RISK
evaluation,BASE,2859,2024-03-01,2023-03-03,2024-03-01,242,3.7342221892207905e-05,6.0731435188914106e-05,1.2020362057312423e-07,1.0038845705860362e-06,-2.277256881057739e-09,1.128642704921276e-06,0.7963513506666069,0.8914794939796955,UPDATED
evaluation,BASE,2880,2024-04-01,2023-04-03,2024-04-01,242,3.7342221892207905e-05,8.26539751117017e-05,1.2020362057312423e-07,3.4501996900214316e-06,-3.099290062624046e-09,3.576601890719804e-06,0.8914794939796955,0.9655251228950915,UPDATED
evaluation,BASE,2900,2024-05-06,2023-05-05,2024-05-06,242,3.7342221892207905e-05,0.00011653994416901568,1.202036205731242e-07,7.266545693848814e-06,-4.369917966724095e-09,7.3954891503553875e-06,0.9655251228950915,0.9831554700429973,UPDATED
evaluation,BASE,2920,2024-06-03,2023-06-02,2024-06-03,242,3.7342221892207905e-05,9.39968789387246e-05,1.202036205731242e-07,8.576240734480426e-06,-3.524616842913591e-09,8.703493588739376e-06,0.9831554700429973,0.9857840720907618,UPDATED
evaluation,BASE,2939,2024-07-01,2023-07-03,2024-07-01,242,-1.6507101846456744e-06,9.39968789387246e-05,3.2228669346427716e-07,8.576240734480426e-06,1.5580542947781059e-10,8.898215817085747e-06,0.9857840720907618,0.9637982608360358,UPDATED
evaluation,BASE,2962,2024-08-01,2023-08-03,2024-08-01,242,1.675832085954197e-05,9.39968789387246e-05,6.638053978755571e-07,8.576240734480426e-06,-1.5817660805239082e-09,9.24320966451703e-06,0.9637982608360358,0.9280134078846682,UPDATED
evaluation,BASE,2984,2024-09-02,2023-09-04,2024-09-02,242,-1.3130643106082478e-05,9.39968789387246e-05,9.56165398426647e-07,8.576240734480426e-06,1.2393607960334779e-09,9.529927411315005e-06,0.9280134078846682,0.8997971341841685,UPDATED
evaluation,BASE,3003,2024-10-08,2023-10-09,2024-10-08,242,0.00015058026423680717,9.39968789387246e-05,4.475650898339784e-06,8.576240734480426e-06,-1.421280546914047e-08,1.308031724375849e-05,0.8997971341841685,0.6567465742506098,UPDATED
evaluation,BASE,3021,2024-11-01,2023-11-02,2024-11-01,242,0.00015058026423680717,3.395984628029545e-05,4.475650898339783e-06,9.954836246071943e-06,-5.134901226437491e-09,1.44407569468646e-05,0.6567465742506098,0.6897125395813067,UPDATED
evaluation,BASE,3042,2024-12-02,2023-12-01,2024-12-02,242,0.00015058026423680717,3.395984628029545e-05,4.475650898339784e-06,9.954836246071943e-06,-5.134901226437488e-09,1.44407569468646e-05,0.6897125395813067,0.6897125395813067,UPDATED
evaluation,BASE,3064,2025-01-02,2024-01-03,2025-01-02,242,0.00015058026423680717,3.395984628029545e-05,4.475650898339783e-06,9.954836246071943e-06,-5.134901226437494e-09,1.44407569468646e-05,0.6897125395813067,0.6897125395813067,UPDATED
evaluation,BASE,3082,2025-02-05,2024-01-29,2025-02-05,242,0.00015058026423680717,3.395984628029545e-05,4.475650898339783e-06,9.954836246071943e-06,-5.134901226437492e-09,1.44407569468646e-05,0.6897125395813067,0.6897125395813067,UPDATED
evaluation,BASE,3100,2025-03-03,2024-03-01,2025-03-03,242,0.00011323804234459925,3.395984628029545e-05,4.363939489759495e-06,9.954836246071945e-06,-3.861503135631583e-09,1.4326498742102703e-05,0.6897125395813067,0.6951243237079946,UPDATED
evaluation,BASE,3121,2025-04-01,2024-04-01,2025-04-01,242,0.00011323804234459925,3.515415513629e-05,4.363939489759495e-06,8.290621088739211e-06,-3.9973054992309825e-09,1.2662555189497169e-05,0.6951243237079946,0.6550509174576653,UPDATED
evaluation,BASE,3142,2025-05-06,2024-05-07,2025-05-06,242,0.00027933531665056614,-8.258009788872023e-05,5.698375756127151e-06,2.6689629260042366e-06,2.3163253717231777e-08,8.321012174696923e-06,0.6550509174576653,0.3179660859447514,UPDATED
evaluation,BASE,3161,2025-06-03,2024-06-03,2025-06-03,242,0.0002798166287815913,-6.003703265842915e-05,5.698161807478328e-06,1.3672620918974626e-06,1.686906696883291e-08,7.031685765438125e-06,0.3179660859447514,0.19204399485057058,UPDATED
evaluation,BASE,3181,2025-07-01,2024-07-02,2025-07-01,242,0.000325568552909525,-6.483483101722595e-05,5.535434093349232e-06,1.7020607721858962e-06,2.1195767930305648e-08,7.195103329674518e-06,0.19204399485057058,0.23361235096141794,UPDATED
evaluation,BASE,3204,2025-08-01,2024-08-02,2025-08-01,242,0.00030715952186533734,0.00015421502703864384,5.205332360804793e-06,3.884485398986074e-06,-4.756516423507411e-08,9.184948088261015e-06,0.23361235096141794,0.42809720048897987,UPDATED
evaluation,BASE,3225,2025-09-01,2024-09-02,2025-09-01,242,0.0003137103148295069,0.00015421502703864384,5.041354296512046e-06,3.884485398986074e-06,-4.857958677785726e-08,9.022998869053833e-06,0.42809720048897987,0.435893325804701,UPDATED
evaluation,BASE,3247,2025-10-09,2024-10-11,2025-10-09,242,0.00017333757848807217,0.000282678444549016,1.4355682314004625e-06,4.854118300361095e-06,-4.920211157956054e-08,6.388090754920677e-06,0.435893325804701,0.7675721275818883,UPDATED
evaluation,BASE,3264,2025-11-03,2024-11-05,2025-11-03,242,0.00017333757848807217,0.000300825504813244,1.4355682314004625e-06,4.260866977468419e-06,-5.236073120967081e-08,5.801156671288223e-06,0.7675721275818883,0.7435116741503691,UPDATED
evaluation,BASE,3284,2025-12-01,2024-12-03,2025-12-01,242,0.00017333757848807217,0.000300825504813244,1.4355682314004625e-06,4.260866977468418e-06,-5.236073120967081e-08,5.801156671288223e-06,0.7435116741503691,0.743511674150369,UPDATED
evaluation,BASE,3307,2026-01-05,2025-01-06,2026-01-05,242,0.00028091105497087346,0.000300825504813244,2.6738185802704197e-06,4.2608669774684195e-06,-8.485585394379508e-08,7.104397265626428e-06,0.743511674150369,0.6116947953401127,UPDATED
evaluation,BASE,3327,2026-02-02,2025-02-11,2026-02-02,242,0.0002639731010159738,0.000300825504813244,3.5477270062272025e-06,4.260866977468419e-06,-7.973934278672181e-08,7.968072669269064e-06,0.6116947953401127,0.5447498410745942,UPDATED
evaluation,BASE,3341,2026-03-02,2025-03-03,2026-03-02,242,0.00027637152989627353,0.000300825504813244,3.587296082639225e-06,4.260866977468419e-06,-8.34845826111507e-08,8.015132225329946e-06,0.5447498410745942,0.5420187013696749,UPDATED
evaluation,BASE,3363,2026-04-01,2025-04-02,2026-04-01,242,0.00027637152989627353,0.000300825504813244,3.5872960826392256e-06,4.260866977468419e-06,-8.34845826111507e-08,8.015132225329944e-06,0.5420187013696749,0.542018701369675,UPDATED
evaluation,BASE,3384,2026-05-06,2025-05-07,2026-05-06,242,0.00011675917639484435,0.000300825504813244,2.2606121188277775e-06,4.260866977468419e-06,-3.526988149251018e-08,6.592018859281217e-06,0.542018701369675,0.6517179259753169,UPDATED
evaluation,BASE,3402,2026-06-01,2025-06-03,2026-06-01,242,0.00010773615001059134,0.000300825504813244,2.4266981990770244e-06,4.260866977468418e-06,-3.254426213561954e-08,6.752653700816684e-06,0.6517179259753169,0.6358109611166319,UPDATED
evaluation,BASE,3423,2026-07-01,2025-07-02,2026-07-01,242,0.0001437581676109121,0.0003056233031720408,3.9472465312393745e-06,3.922545009019751e-06,-4.411815245832389e-08,7.958027845175773e-06,0.6358109611166319,0.4984480123279163,UPDATED
evaluation,BASE,3446,2026-08-03,2025-08-04,2026-08-03,242,0.00011399997787013756,8.6573445116171e-05,4.692746509838118e-06,1.8067275412047366e-06,-9.910322573556787e-09,6.5192946961899664e-06,0.4984480123279163,0.2786555829175786,UPDATED
earlier_diagnostic,BASE,632,2014-12-31,,,0,,,,,,,0.5,0.5,INITIAL_HALF
earlier_diagnostic,BASE,633,2015-01-05,2015-01-05,2015-01-05,1,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,653,2015-02-02,2015-01-05,2015-02-02,21,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,668,2015-03-02,2015-01-05,2015-03-02,36,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,690,2015-04-01,2015-01-05,2015-04-01,58,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,711,2015-05-04,2015-01-05,2015-05-04,79,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,731,2015-06-01,2015-01-05,2015-06-01,99,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,752,2015-07-01,2015-01-05,2015-07-01,120,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,775,2015-08-03,2015-01-05,2015-08-03,143,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,796,2015-09-01,2015-01-05,2015-09-01,164,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,816,2015-10-08,2015-01-05,2015-10-08,184,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,833,2015-11-02,2015-01-05,2015-11-02,201,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,854,2015-12-01,2015-01-05,2015-12-01,222,,,,,,,0.5,0.5,INSUFFICIENT_WINDOW
earlier_diagnostic,BASE,877,2016-01-04,2015-01-08,2016-01-04,242,0.0005923774568790142,0.00042790966077085765,2.9214078048931604e-05,1.4709485471556958e-05,1.3467517027742605e-05,1.698852946500335e-05,0.5,0.07310629483104046,UPDATED
earlier_diagnostic,BASE,897,2016-02-01,2015-02-05,2016-02-01,242,0.0007005097866883447,0.0005047386354869867,2.3829252096332824e-05,8.195465856794545e-06,7.99415310514529e-06,1.6036411742836783e-05,0.07310629483104046,0.012553478600920718,UPDATED
earlier_diagnostic,BASE,913,2016-03-01,2015-03-06,2016-03-01,242,0.0006766998658050568,0.0004764637430230641,2.1846778743609315e-05,6.045332334086603e-06,6.005534675075674e-06,1.588104172754457e-05,0.012553478600920718,0.0025059854191997423,UPDATED
earlier_diagnostic,BASE,936,2016-04-01,2015-04-09,2016-04-01,242,0.00024791099061528945,4.6707313686363674e-05,1.6745538120997008e-05,7.469148621801684e-07,8.059146435847772e-07,1.5880623696007625e-05,0.0025059854191997423,0.0,UPDATED
earlier_diagnostic,BASE,956,2016-05-03,2015-05-08,2016-05-03,242,0.00019769849930184372,0.0,1.1064354809974542e-05,0.0,0.0,1.1064354809974542e-05,0.0,0.0,DEGENERATE_RISK
earlier_diagnostic,BASE,977,2016-06-01,2015-06-08,2016-06-01,242,6.096089977460944e-05,0.0,1.4644736488074114e-05,0.0,0.0,1.4644736488074114e-05,0.0,0.0,DEGENERATE_RISK
earlier_diagnostic,BASE,997,2016-07-01,2015-07-07,2016-07-01,242,0.00015235807953224424,0.0,1.6016030644988795e-05,0.0,0.0,1.6016030644988795e-05,0.0,0.0,DEGENERATE_RISK
earlier_diagnostic,BASE,1018,2016-08-01,2015-08-05,2016-08-01,242,0.00023829338841687634,0.0,2.0635083240104583e-05,0.0,0.0,2.0635083240104583e-05,0.0,0.0,DEGENERATE_RISK
earlier_diagnostic,BASE,1041,2016-09-01,2015-09-09,2016-09-01,242,0.00023829338841687634,0.0,2.0635083240104583e-05,0.0,0.0,2.0635083240104583e-05,0.0,0.0,DEGENERATE_RISK
earlier_diagnostic,BASE,1061,2016-10-10,2015-10-14,2016-10-10,242,0.00014778173403338064,-7.702358312202516e-05,1.9652010065197852e-05,2.8397165366524275e-06,1.1429909707084555e-08,2.2468866782436112e-05,0.0,0.12587580203004325,UPDATED
earlier_diagnostic,BASE,1077,2016-11-01,2015-11-05,2016-11-01,242,7.659771355049704e-05,-7.702358312202516e-05,1.742174447255129e-05,2.8397165366524275e-06,5.924310980500135e-09,2.024961238724271e-05,0.12587580203004325,0.13994303552482917,UPDATED
earlier_diagnostic,BASE,1099,2016-12-01,2015-12-07,2016-12-01,242,6.85311065632034e-05,-7.702358312202516e-05,1.4974290380624339e-05,2.8397165366524275e-06,5.300413919673421e-09,1.7803406089437415e-05,0.13994303552482917,0.15920639615216017,UPDATED
earlier_diagnostic,BASE,1121,2017-01-03,2016-01-07,2017-01-03,242,6.983128238199886e-05,-7.702358312202516e-05,1.3437939259684263e-05,2.8397165366524275e-06,5.400973656026279e-09,1.6266853849024637e-05,0.15920639615216017,0.17423870585561002,UPDATED
earlier_diagnostic,BASE,1139,2017-02-03,2016-02-02,2017-02-03,242,6.983128238199886e-05,-7.702358312202516e-05,1.3437939259684261e-05,2.839716536652427e-06,5.400973656026279e-09,1.6266853849024643e-05,0.17423870585561002,0.1742387058556099,UPDATED
earlier_diagnostic,BASE,1157,2017-03-01,2016-03-04,2017-03-01,242,6.983128238199886e-05,-1.5464996113498316e-05,1.3437939259684261e-05,4.450450028725719e-06,1.084421591595222e-09,1.7886220445226792e-05,0.1742387058556099,0.2487594078782309,UPDATED
earlier_diagnostic,BASE,1180,2017-04-05,2016-04-07,2017-04-05,242,6.983128238199886e-05,-1.5464996113498316e-05,1.3437939259684264e-05,4.450450028725719e-06,1.0844215915952233e-09,1.7886220445226792e-05,0.2487594078782309,0.2487594078782309,UPDATED
earlier_diagnostic,BASE,1198,2017-05-02,2016-05-04,2017-05-02,242,1.3843636582273188e-05,-1.5464996113498316e-05,1.268091864837398e-05,4.450450028725719e-06,2.1498013360104792e-10,1.7130938716832497e-05,0.2487594078782309,0.25977765271084713,UPDATED
earlier_diagnostic,BASE,1218,2017-06-01,2016-06-01,2017-06-01,242,9.65837829336467e-05,-1.5464996113498316e-05,8.228752671296032e-06,4.450450028725719e-06,1.499865619511977e-09,1.2676202968782722e-05,0.25977765271084713,0.35096867524624636,UPDATED
earlier_diagnostic,BASE,1240,2017-07-03,2016-07-05,2017-07-03,242,0.0001834231741382092,-1.5464996113498316e-05,5.744938597131935e-06,4.450450028725719e-06,2.8484089601321537e-09,1.0189691807937386e-05,0.35096867524624636,0.4364804847484271,UPDATED
earlier_diagnostic,BASE,1261,2017-08-01,2016-08-03,2017-08-01,242,0.00022902325188714972,-1.5464996113498316e-05,3.4174036957337186e-06,4.450450028725719e-06,3.5565401472248713e-09,7.860740644164987e-06,0.4364804847484271,0.5657092238349594,UPDATED
earlier_diagnostic,BASE,1284,2017-09-01,2016-09-05,2017-09-01,242,0.00020440712946250786,-1.5464996113498316e-05,3.5053239410132388e-06,4.450450028725718e-06,3.1742722903551286e-09,7.949425425158248e-06,0.5657092238349594,0.5594461886969436,UPDATED
earlier_diagnostic,BASE,1305,2017-10-09,2016-10-13,2017-10-09,242,0.00020440712946250786,6.155858700852685e-05,3.5053239410132388e-06,1.601211217946446e-06,-1.2635225740795866e-08,5.131805610441277e-06,0.5594461886969436,0.31447926250434677,UPDATED
earlier_diagnostic,BASE,1322,2017-11-01,2016-11-07,2017-11-01,242,0.00020440712946250786,0.00012167731738974535,3.5053239410132388e-06,2.262168753743056e-06,-2.4974913289366783e-08,5.817442521335029e-06,0.31447926250434677,0.39315277437542306,UPDATED
earlier_diagnostic,BASE,1344,2017-12-01,2016-12-07,2017-12-01,242,0.00020440712946250786,0.0001652198244415336,3.505323941013239e-06,1.1171477971837026e-05,-3.391224328109211e-08,1.4744626399412447e-05,0.39315277437542306,0.7599643362658981,UPDATED
earlier_diagnostic,BASE,1365,2018-01-02,2017-01-06,2018-01-02,242,0.00020440712946250786,0.00014780961897506326,3.505323941013239e-06,1.3952695195793837e-05,-3.0338706477331154e-08,1.751869654976173e-05,0.7599643362658981,0.7981777561220071,UPDATED
earlier_diagnostic,BASE,1387,2018-02-01,2017-02-14,2018-02-01,242,0.00020440712946250786,0.00017921553861055723,3.5053239410132388e-06,1.441387828522235e-05,-3.678493767716026e-08,1.7992772101589908e-05,0.7981777561220071,0.8031371231352726,UPDATED
earlier_diagnostic,BASE,1402,2018-03-01,2017-03-07,2018-03-01,242,0.00029183254599402425,0.00013738760463142145,5.314600103679588e-06,1.2916760880628956e-05,-4.0260540316685315e-08,1.831188206494191e-05,0.8031371231352726,0.7075745341191255,UPDATED
earlier_diagnostic,BASE,1424,2018-04-02,2017-04-10,2018-04-02,242,0.0002847432737186525,0.00013738760463142145,5.473651455426054e-06,1.2916760880628954e-05,-3.928252077713609e-08,1.8468977377609283e-05,0.7075745341191255,0.7015030197131134,UPDATED
earlier_diagnostic,BASE,1442,2018-05-02,2017-05-05,2018-05-02,242,0.0002847432737186525,0.00013738760463142145,5.473651455426055e-06,1.2916760880628954e-05,-3.9282520777136074e-08,1.8468977377609283e-05,0.7015030197131134,0.7015030197131134,UPDATED
earlier_diagnostic,BASE,1464,2018-06-01,2017-06-08,2018-06-01,242,0.0002173065130913396,0.00013738760463142145,4.94794022891986e-06,1.2916760880628954e-05,-2.9979101890751185e-08,1.7924659313330317e-05,0.7015030197131134,0.7222865303158871,UPDATED
