date,standard_241,volume_relative_error,amount_relative_error,pre_complete,reaction_complete,entry_complete,exit_complete
2017-01-03,True,0.0,0.0,True,True,True,True
2017-01-04,True,0.0,5.175967574890897e-09,True,True,True,True
2017-01-05,True,0.0,0.0,True,True,True,True
2017-01-06,True,0.0,0.0,True,True,True,True
2017-01-09,True,0.0,0.0,True,True,True,True
2017-01-10,True,0.0,0.0,True,True,True,True
2017-01-11,True,0.0,0.0,True,True,True,True
2017-01-12,True,0.0,0.0,True,True,True,True
2017-01-13,True,0.0,0.0,True,True,True,True
2017-01-16,True,0.0,2.030817879538081e-09,True,True,True,True
2017-01-17,True,0.0,0.0,True,True,True,True
2017-01-18,True,0.0,0.0,True,True,True,True
2017-01-19,True,0.0,0.0,True,True,True,True
2017-01-20,True,0.0,2.8420029529189446e-09,True,True,True,True
2017-01-23,True,0.0,2.0879598777662974e-09,True,True,True,True
2017-01-24,True,0.0,0.0,True,True,True,True
2017-01-25,True,0.0,0.0,True,True,True,True
2017-01-26,True,0.0,0.0,True,True,True,True
2017-02-03,True,0.0,0.0,True,True,True,True
2017-02-06,True,0.0,2.937260750863636e-09,True,True,True,True
2017-02-07,True,0.0,0.0,True,True,True,True
2017-02-08,True,0.0,0.0,True,True,True,True
2017-02-09,True,0.0,0.0,True,True,True,True
2017-02-10,True,0.0,0.0,True,True,True,True
2017-02-13,True,0.0,0.0,True,True,True,True
2017-02-14,True,0.0,0.0,True,True,True,True
2017-02-15,True,0.0,0.0,True,True,True,True
2017-02-16,True,0.0,0.0,True,True,True,True
2017-02-17,True,0.0,0.0,True,True,True,True
2017-02-20,True,0.0,0.0,True,True,True,True
2017-02-21,True,0.0,0.0,True,True,True,True
2017-02-22,True,0.0,0.0,True,True,True,True
2017-02-23,True,0.0,0.0,True,True,True,True
2017-02-24,True,0.0,0.0,True,True,True,True
2017-02-27,True,0.0,0.0,True,True,True,True
2017-02-28,True,0.0,0.0,True,True,True,True
2017-03-01,True,0.0,0.0,True,True,True,True
2017-03-02,True,0.0,0.0,True,True,True,True
2017-03-03,True,0.0,0.0,True,True,True,True
2017-03-06,True,0.0,0.0,True,True,True,True
2017-03-07,True,0.0,0.0,True,True,True,True
2017-03-08,True,0.0,0.0,True,True,True,True
2017-03-09,True,0.0,0.0,True,True,True,True
2017-03-10,True,0.0,0.0,True,True,True,True
2017-03-13,True,0.0,0.0,True,True,True,True
2017-03-14,True,0.0,0.0,True,True,True,True
2017-03-15,True,0.0,0.0,True,True,True,True
2017-03-16,True,0.0,0.0,True,True,True,True
2017-03-17,True,0.0,0.0,True,True,True,True
2017-03-20,True,0.0,0.0,True,True,True,True
2017-03-21,True,0.0,0.0,True,True,True,True
2017-03-22,True,0.0,0.0,True,True,True,True
2017-03-23,True,0.0,3.3927925525820606e-09,True,True,True,True
2017-03-24,True,0.0,0.0,True,True,True,True
2017-03-27,True,0.0,0.0,True,True,True,True
2017-03-28,True,0.0,0.0,True,True,True,True
2017-03-29,True,0.0,0.0,True,True,True,True
2017-03-30,True,0.0,0.0,True,True,True,True
2017-03-31,True,0.0,0.0,True,True,True,True
2017-04-05,True,0.0,0.0,True,True,True,True
2017-04-06,True,0.0,0.0,True,True,True,True
2017-04-07,True,0.0,0.0,True,True,True,True
2017-04-10,True,0.0,3.470043407432029e-09,True,True,True,True
2017-04-11,True,0.0,0.0,True,True,True,True
2017-04-12,True,0.0,0.0,True,True,True,True
2017-04-13,True,0.0,0.0,True,True,True,True
2017-04-14,True,0.0,0.0,True,True,True,True
2017-04-17,True,0.0,0.0,True,True,True,True
2017-04-18,True,0.0,0.0,True,True,True,True
2017-04-19,True,0.0,1.3713609599829217e-09,True,True,True,True
2017-04-20,True,0.0,0.0,True,True,True,True
2017-04-21,True,0.0,0.0,True,True,True,True
2017-04-24,True,0.0,0.0,True,True,True,True
2017-04-25,True,0.0,0.0,True,True,True,True
2017-04-26,True,0.0,0.0,True,True,True,True
2017-04-27,True,0.0,1.3941642137374477e-09,True,True,True,True
2017-04-28,True,0.0,0.0,True,True,True,True
2017-05-02,True,0.0,0.0,True,True,True,True
2017-05-03,True,0.0,0.0,True,True,True,True
2017-05-04,True,0.0,0.0,True,True,True,True
2017-05-05,True,0.0,0.0,True,True,True,True
2017-05-08,True,0.0,0.0,True,True,True,True
2017-05-09,True,0.0,0.0,True,True,True,True
2017-05-10,True,0.0,1.7841994728763022e-09,True,True,True,True
2017-05-11,True,0.0,1.3747829013367908e-09,True,True,True,True
2017-05-12,True,0.0,2.046707635647531e-09,True,True,True,True
2017-05-15,True,0.0,0.0,True,True,True,True
2017-05-16,True,0.0,0.0,True,True,True,True
2017-05-17,True,0.0,0.0,True,True,True,True
2017-05-18,True,0.0,0.0,True,True,True,True
2017-05-19,True,0.0,0.0,True,True,True,True
2017-05-22,True,0.0,0.0,True,True,True,True
2017-05-23,True,0.0,1.931830576651878e-09,True,True,True,True
2017-05-24,True,0.0,0.0,True,True,True,True
2017-05-25,True,0.0,1.1613037048602927e-09,True,True,True,True
2017-05-26,True,0.0,1.4103585262673201e-09,True,True,True,True
2017-05-31,True,0.0,0.0,True,True,True,True
2017-06-01,True,0.0,0.0,True,True,True,True
2017-06-02,True,0.0,0.0,True,True,True,True
2017-06-05,True,0.0,0.0,True,True,True,True
2017-06-06,True,0.0,0.0,True,True,True,True
2017-06-07,True,0.0,0.0,True,True,True,True
2017-06-08,True,0.0,1.928676402717424e-09,True,True,True,True
2017-06-09,True,0.0,0.0,True,True,True,True
2017-06-12,True,0.0,0.0,True,True,True,True
2017-06-13,True,0.0,0.0,True,True,True,True
2017-06-14,True,0.0,1.9675632641456103e-09,True,True,True,True
2017-06-15,True,0.0,0.0,True,True,True,True
2017-06-16,True,0.0,0.0,True,True,True,True
2017-06-19,True,0.0,0.0,True,True,True,True
2017-06-20,True,0.0,0.0,True,True,True,True
2017-06-21,True,0.0,1.3773085531057518e-09,True,True,True,True
