origin,ts_code,institution,report_id,prior_report_id,profit_revision_available,reason,current_profit_label,prior_profit_label
2018-03-30,000001.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000001.SZ,soochow,AP201803151104308852,AP201710220971223714,False,NO_VIEW_PROFIT_LABEL_MISMATCH_IN_SAVED_SOURCE,净利润,
2018-03-30,000002.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000002.SZ,soochow,AP201803271111409744,,False,NO_VIEW_COMPARABLE_PRIOR_TARGET_YEAR_NOT_PRESENT_IN_SAVED_EVIDENCE,,
2018-03-30,000008.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000008.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000060.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000060.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000063.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000063.SZ,soochow,AP201803161105106058,AP201708280833904373,True,AVAILABLE_MATCHED_PROFIT_REVISION,净利润,净利润
2018-03-30,000069.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000069.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000100.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000100.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000157.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000157.SZ,soochow,AP201710310993848493,AP201710310993848493,False,NO_VIEW_MATCHED_PROFIT_VALUES_MISSING,,
2018-03-30,000166.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000166.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000333.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000333.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000338.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000338.SZ,soochow,AP201710310992222479,AP201710310992222479,True,AVAILABLE_MATCHED_PROFIT_REVISION,净利润,净利润
2018-03-30,000402.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000402.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000413.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000413.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000415.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000415.SZ,soochow,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
2018-03-30,000423.SZ,guosen,,,False,NO_VIEW_LATEST_REPORT_MISSING_OR_STALE,,
