period,cost,left,right,fit_origin,window_start,window_end,days,end_censored,accepted_feature,primary_policy,no_factor_policy,left_window_return,right_window_return,window_return_gap,annual_arithmetic_contribution,left_start_shares,right_start_shares
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2014-12-31T00:00:00,2015-01-05,2015-01-09,5,False,False,PASSIVE,PASSIVE,-0.003246156799999844,-0.003246156799999844,0.0,0.0,0,0
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-01-05T00:00:00,2015-01-12,2015-02-06,20,False,False,PASSIVE,PASSIVE,-0.011114124189815167,-0.011114124189815167,0.0,0.0,12800,12800
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-02-02T00:00:00,2015-02-09,2015-03-06,15,False,False,PASSIVE,PASSIVE,0.0021125135728345956,0.0021125135728345956,0.0,0.0,11400,11400
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-03-02T00:00:00,2015-03-09,2015-04-03,20,False,False,PASSIVE,PASSIVE,0.08499702932363018,0.08499702932363018,0.0,0.0,24300,24300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-04-01T00:00:00,2015-04-07,2015-05-08,23,False,False,PASSIVE,PASSIVE,0.04183343407133644,0.04183343407133644,0.0,0.0,24300,24300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-05-04T00:00:00,2015-05-11,2015-06-05,20,False,False,PASSIVE,PASSIVE,0.04276234799753209,0.04276234799753209,0.0,0.0,24300,24300
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-06-01T00:00:00,2015-06-08,2015-07-03,19,False,False,PASSIVE,PASSIVE,-0.0660142389930708,-0.0660142389930708,0.0,0.0,12200,12200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-07-01T00:00:00,2015-07-06,2015-08-07,25,False,False,PASSIVE,PASSIVE,0.007414046848314593,0.007414046848314593,0.0,0.0,12200,12200
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-08-03T00:00:00,2015-08-10,2015-09-11,23,False,False,PASSIVE,PASSIVE,-0.015472435685310315,-0.015472435685310315,0.0,0.0,6000,6000
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,2015-09-01T00:00:00,2015-09-14,2015-10-09,15,False,False,PASSIVE,PASSIVE,0.005240168512573584,0.005240168512573584,0.0,0.0,6000,6000
